evidence_id,case_id,step_id,evidence_type,source_url,source_section,evidence_description,support_level,local_evidence_path,notes
E01,packaging_001,step_01,direct_quote,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,"Measuring Up — Determining Package Size, Type & Structure","""We started by taking careful measurements of the overall size of the product, taking note of its width, length and depth.""",DIRECT,evidence/key_quotes.txt,Verbatim quote confirmed via WebFetch on 2026-08-09
E02,packaging_001,step_01,paraphrase/description,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,"Measuring Up — Determining Package Size, Type & Structure",Hanging box with a window selected as structure to optimize shelf space while showing product function,DIRECT,evidence/key_quotes.txt,"Corroborated by B1 candidate file (PACK-02) and by section heading framing on 'Package Size, Type & Structure'"
E03,packaging_001,step_02,direct_quote,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,Mockup Testing — Checking Fit & Structural Integrity,"""Using our notes and measurements, we trim out a rough blank prototype to further test our design and structure.""",DIRECT,evidence/key_quotes.txt,Verbatim quote confirmed via WebFetch
E04,packaging_001,step_02,direct_quote,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,Mockup Testing — Checking Fit & Structural Integrity,"""This physical mockup allows us to experiment and help us iron out sizing, stock weight, and the necessary folding.""",DIRECT,evidence/key_quotes.txt,Verbatim quote confirmed via WebFetch
E05,packaging_001,step_03,direct_quote,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,Initial Creative Exploration — Designing Visuals for Client Review,"""The purpose of our initial design concepts will be to present to the client several different visuals looks, as well as variations on copy and messaging points"" + stated goals: ""1- Jump off the shelf 2- Clearly let shoppers know what the product does and how it benefits them 3- Create a solid branded look""",DIRECT,evidence/key_quotes.txt,Verbatim quotes confirmed via WebFetch; four-concepts detail corroborated by B1 file and image caption
E06,packaging_001,step_04,direct_quote,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,Dieline Drafting — Creating Digital Dieline for Print Production,"""With the designs out for feedback, we began to draft the actual dieline that will be needed to layout the package for final printing.""",DIRECT,evidence/key_quotes.txt,Verbatim quote confirmed via WebFetch
E07,packaging_001,step_04,direct_quote,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,Dieline Drafting — Creating Digital Dieline for Print Production,"""Care is taken in creating an accurately sized dieline that accounts for proper folding, paper weight and print feasibility.""",DIRECT,evidence/key_quotes.txt,Verbatim quote confirmed via WebFetch
E08,packaging_001,step_04,direct_quote,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,Dieline Drafting — Creating Digital Dieline for Print Production,"""3D software is used periodically to check the final dieline for accuracy.""",DIRECT,evidence/key_quotes.txt,Verbatim quote confirmed via WebFetch
E09,packaging_001,step_05,direct_quote,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,Final Package Production — Laying Out The Full Package On Dieline For Print,"""The client has chosen one of the layouts with edits to move forward with and we begin laying out the full package on our dieline.""",DIRECT,evidence/key_quotes.txt,Verbatim quote confirmed via WebFetch
E10,packaging_001,step_05,direct_quote,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,Final Package Production — Laying Out The Full Package On Dieline For Print,"""3D software was used throughout the process as a check, as what sometimes look great when viewed flat needs adjusted for 3D.""",DIRECT,evidence/key_quotes.txt,Verbatim quote confirmed via WebFetch
E11,packaging_001,step_06,paraphrase/description,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,A Successful Product Launch!,"Package approved, printed, and launched ""in major retailers""",DIRECT,evidence/key_quotes.txt,Section heading + closing content confirmed present via WebFetch re-extraction; exact original launch-section prose not independently re-quoted verbatim beyond B1 candidate file's characterization
E12,packaging_001,,image_caption_set,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,All sections (image captions across article),Sequence of image captions (measuring photo -> mockup photo -> interior structure photo -> concepts photo -> dieline photo -> final art photo -> final product photo) matching the text-described stage order,PARTIAL,evidence/key_quotes.txt,Used only as corroboration of an order already established by article prose; NOT used as sole/primary evidence for any step per evidence policy (avoids image-sequence-as-process fallacy). Not cited in workflow_extraction.json evidence_ids.
E13,packaging_001,,general_context,https://blog.catalpha.com/getting-a-unique-new-to-market-pet-product-into-shelf-ready-packaging-for-major-retailers,General framing statement,"""Through every step of Catalpha's creative and production process, we work closely with brand owners and their marketing team to create custom packaging.""",PARTIAL,evidence/key_quotes.txt,General framing quote; not tied to a specific discrete step; documented as context only; not cited as evidence_ids on any workflow_steps entry
