Top pages,Clicks,Impressions,CTR,Position
https://www.curify-ai.com/tools/asl-video-translator,61,686,8.89%,13.8
https://www.curify-ai.com/,31,471,6.58%,18.4
https://www.curify-ai.com/tools/video-dubbing,15,455,3.30%,75.5
https://www.curify-ai.com/es/blog/asl-video-translator,12,92,13.04%,6.8
https://www.curify-ai.com/nano-banana-pro-prompts/tag/woman,10,112,8.93%,25.9
https://www.curify-ai.com/tools/bilingual-subtitles,4,131,3.05%,45.1
https://www.curify-ai.com/blog/50-ai-packaging-design-prompts,3,126,2.38%,14.8
https://www.curify-ai.com/blog/asl-video-translator,3,129,2.33%,34.2
https://www.curify-ai.com/tools,3,52,5.77%,10.6
https://www.curify-ai.com/zh/nano-template/travel,3,51,5.88%,8.5
https://www.curify-ai.com/about,2,78,2.56%,9.3
https://www.curify-ai.com/blog/50-ai-sticker-design-prompts,2,37,5.41%,10.4
https://www.curify-ai.com/en/nano-template/mbti-nba,2,26,7.69%,9.3
https://www.curify-ai.com/nano-template/food-photo-doodle-sticker-overlay/example/template-food-photo-doodle-sticker-overlay-brunch,2,15,13.33%,9.4
https://www.curify-ai.com/nano-template/mbti-generic/example/template-mbti-generic-Football-Pele-Maradona-Zinedine-Zidane-Ronaldinho,2,188,1.06%,4.2
https://www.curify-ai.com/nano-template/mbti-generic/example/template-mbti-generic-Football-Striker-Forward-Winger-Midfielder,2,40,5.00%,9.1
https://www.curify-ai.com/nano-template/mbti-nba/example/template-mbti-nba-erling-haaland,2,942,0.21%,8.6
https://www.curify-ai.com/nano-template/pet-care-guide,2,15,13.33%,4.9
https://www.curify-ai.com/nano-template/vintage-classic-novel-book-summary-infographic-poster,2,5,40.00%,2.0
https://www.curify-ai.com/ru/nano-template/mbti-generic/example/template-mbti-generic-Football-Pele-Maradona-Zinedine-Zidane-Ronaldinho,2,25,8.00%,3.8
https://www.curify-ai.com/tr/blog/f5-tts-voice-cloning,2,20,10.00%,7.5
https://www.curify-ai.com/zh,2,12,16.67%,5.9
https://www.curify-ai.com/zh/nano-template/character,2,13,15.38%,7.8
https://www.curify-ai.com/blog/50-world-cup-2026-ai-prompts,1,96,1.04%,18.8
https://www.curify-ai.com/blog/france-soccer-poster-prompts,1,28,3.57%,25.4
https://www.curify-ai.com/blog/mbti-character-generator,1,166,0.60%,11.3
https://www.curify-ai.com/blog/phonics-flashcards-ai-templates,1,12,8.33%,11.3
https://www.curify-ai.com/de/blog/10-prompting-tips-nano-banana,1,5,20.00%,6.2
https://www.curify-ai.com/en/nano-template/world-cup-debut-team-preview-poster?team_info=cape+verde+island+dreams,1,8,12.50%,8.3
https://www.curify-ai.com/en/topics/branding,1,6,16.67%,44.8
https://www.curify-ai.com/es,1,16,6.25%,10.0
https://www.curify-ai.com/es/blog/how-to-dub-videos-naturally,1,1,100.00%,6.0
https://www.curify-ai.com/es/nano-template/artist-biography-infographic/carousel/template-artist-biography-infographic-leonardo-da-vinci,1,2,50.00%,2.5
https://www.curify-ai.com/es/nano-template/artist-biography-infographic/example/template-artist-biography-infographic-leonardo-da-vinci,1,1,100.00%,3.0
https://www.curify-ai.com/es/nano-template/figure-principles-infographic/example/template-figure-principles-infographic-marie-curie,1,53,1.89%,2.3
https://www.curify-ai.com/es/nano-template/mbti-naruto/example/template-mbti-naruto-sakura,1,1,100.00%,2.0
https://www.curify-ai.com/es/nano-template/mbti-nba,1,8,12.50%,6.8
https://www.curify-ai.com/es/tools/bilingual-subtitles,1,2,50.00%,6.5
https://www.curify-ai.com/es/tools/video-dubbing,1,8,12.50%,71.8
https://www.curify-ai.com/fr/blog/mbti-relationship-style-visualizer,1,1,100.00%,5.0
https://www.curify-ai.com/fr/nano-template/mbti-nba,1,10,10.00%,5.1
https://www.curify-ai.com/fr/nano-template/pop-culture-matching-chart/example/template-pop-culture-matching-chart-ghibli-zodiac-spirit-animals,1,1,100.00%,2.0
https://www.curify-ai.com/fr/topics/reading,1,3,33.33%,6.3
https://www.curify-ai.com/ja,1,5,20.00%,2.2
https://www.curify-ai.com/ja/blog/f5-tts-voice-cloning,1,7,14.29%,11.6
https://www.curify-ai.com/ja/nano-template/detective-conan,1,14,7.14%,28.8
https://www.curify-ai.com/ja/nano-template/mbti-generic,1,13,7.69%,6.5
https://www.curify-ai.com/ja/nano-template/mbti-relationship-infographic,1,2,50.00%,7.0
https://www.curify-ai.com/ja/nano-template/travel,1,5,20.00%,4.8
https://www.curify-ai.com/ko/blog/preserve-facial-features-ai-generation,1,11,9.09%,23.7
https://www.curify-ai.com/ko/nano-template/historical-event-map-illustration/example/template-historical-event-map-illustration-constantinople-siege,1,8,12.50%,8.4
https://www.curify-ai.com/ko/nano-template/mbti-marvel,1,21,4.76%,4.6
https://www.curify-ai.com/ko/nano-template/travel,1,14,7.14%,10.6
https://www.curify-ai.com/nano-banana-pro-prompts/1027,1,1,100.00%,5.0
https://www.curify-ai.com/nano-banana-pro-prompts/1113,1,1,100.00%,13.0
https://www.curify-ai.com/nano-banana-pro-prompts/1358,1,2,50.00%,5.0
https://www.curify-ai.com/nano-banana-pro-prompts/1816,1,14,7.14%,14.1
https://www.curify-ai.com/nano-banana-pro-prompts/2299,1,1,100.00%,8.0
https://www.curify-ai.com/nano-banana-pro-prompts/3154,1,3,33.33%,5.3
https://www.curify-ai.com/nano-banana-pro-prompts/4087,1,2,50.00%,2.5
https://www.curify-ai.com/nano-banana-pro-prompts/692,1,2,50.00%,4.0
https://www.curify-ai.com/nano-banana-pro-prompts/tag/kpop,1,1,100.00%,2.0
