evidence_id,case_id,step_id,evidence_type,source_url,source_section,evidence_description,support_level,local_evidence_path,notes
EV01,brand_logo_001,step_01_define_objectives,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Title/overview,"""The rebrand and launch campaign of the Canada Life's Constellation managed portfolios program and digital tool""",DIRECT,evidence/key_quotes.txt,Confirmed identically across 2 independent WebFetch passes
EV02,brand_logo_001,step_01_define_objectives,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Objective,"Three objectives: (1) ""Rebrand the existing London Life Constellation Managed Portfolios tool and materials to the new Canada Life brand"" (2) ""Help Constellation better resonate with advisors and their clients"" (3) ""Increase advisor awareness and adoption of the Constellation managed program""",DIRECT,evidence/key_quotes.txt,Confirmed identically across 2 independent WebFetch passes
EV03,brand_logo_001,step_02_client_persona_research,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Client marketing materials,"Five client personas: small-business owners; young same-sex couple; middle-aged family; young adventurous couple; single high-net-worth individual",DIRECT,evidence/key_quotes.txt,Confirmed across 2 fetch passes; section header confirmed as "Client marketing materials" in page-structure pass
EV04,brand_logo_001,step_02_client_persona_research,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Target audiences,"""mass-affluent to affluent clients with a minimum of $25,000 to invest per household, targeting ages 25-50""",DIRECT,evidence/key_quotes.txt,Confirmed verbatim in dedicated verbatim-quote fetch pass
EV05,brand_logo_001,step_03_advisor_persona_research,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Advisor marketing materials,"Three advisor personas: newer advisors (under 4 years); tenured advisors (10+ years); newer advisors serving Asian-market clients",DIRECT,evidence/key_quotes.txt,Confirmed across 2 fetch passes; section header confirmed in page-structure pass
EV06,brand_logo_001,step_04_creative_device,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Client/Advisor marketing materials,"""A keyline square over photography. The keyline draws attention to our client and advisor personas and only appears over photography on Constellation materials""",DIRECT,evidence/key_quotes.txt,Confirmed verbatim across 2 fetch passes
EV07,brand_logo_001,step_04_creative_device,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Challenges,"""differentiating Constellation through design"" named as one of three key project challenges",PARTIAL,evidence/key_quotes.txt,"Supports motivation/context for step_04 but the page does not explicitly state a direct causal ""we solved challenge X by creating device Y"" sentence; the link between this challenge and the keyline-square solution is this agent's reasonable but non-verbatim inference"
EV08,brand_logo_001,step_05_localization,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Mandarin and Cantonese adaptations,"Client and advisor personas were customized/""modified for better alignment"" to Chinese-market segments; base languages English and French, ""plus some printed materials were produced in Mandarin and Cantonese""",DIRECT,evidence/key_quotes.txt,Confirmed across 3 fetch passes
EV09,brand_logo_001,step_06_applications_production,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Advisor marketing materials,"""including an advisor brochure about how Constellation can help them find balance in their busy world""",DIRECT,evidence/key_quotes.txt,Confirmed in targeted fact-check fetch pass
EV10,brand_logo_001,step_06_applications_production,quote,https://www.behance.net/gallery/185658399/CASE-STUDY-Constellation-rebrand-and-launch-campaign,Client marketing materials,"""The client kits were the primary client marketing materials produced.""",DIRECT,evidence/key_quotes.txt,Confirmed in targeted fact-check fetch pass
