source_id,query_id,query,domain,title,source_domain,creator_or_author,source_type,automated_quality,authority_signals,originality_signals,content_depth,visual_relevance,traceability,thumbnail_reliability,expansion_potential,recommended_long_term_role,human_review_status,notes
merch_v004_001,V004,figure,merch,MIKO® ART-TOY,behance.net,"Miguel Guercio (Parma, Italy)",designer_portfolio_project,B, Named individual designer's own Behance publication; credited tools (Blender/Illustrator/Photoshop); no verified external site.,ORIGINAL_CREATOR_PUBLICATION,"MEDIUM — final renders across multiple angles, no sketch/process stage shown.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,TESTED_L5 — creator profile independently confirmed with multiple projects (see SOURCE_EXPANSION_RESULTS row 2).,SECONDARY_SOURCE,PENDING,"Single-character project, moderate engagement; expansion chain is strong (L5) despite B automated grade, showing expansion potential and quality grade do not always move together."
merch_v004_002,V004,figure,merch,Vinyl Figures: Logo + Full Collection,behance.net,Irina Bolgova (Russian Federation) for brand BLOBBO,designer_portfolio_project,B,Named designer's own case study combining logo + figure collection for one brand (BLOBBO); no site beyond Behance/Telegram.,ORIGINAL_CREATOR_PUBLICATION,"MEDIUM — ~15+ images spanning branding + collection, no process stage.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,"Freelance project, moderate engagement; not part of the 13-candidate expansion test."
merch_v004_003,V004,figure,merch,Octopus Starfy Dessert Blind Box,behance.net,"RACCOON FACTORY (Seoul, Korea) — established character-brand studio, active since 2017",studio_portfolio_project,A,"Established multi-year studio (RACCOON FACTORY, active since 2017) with a consistent published IP, real commercial sales link, social presence.",ORIGINAL_CREATOR_PUBLICATION,"HIGH — sketch/prototype/product-photo stages shown, not just final output.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,"TESTED_L5 — best-performing expansion chain of the pilot; creator independently confirmed via WebSearch (10+ dated projects, external Instagram, live AliExpress listing).",PRIMARY_SOURCE,PENDING,"Strongest merch candidate: durable multi-year cross-platform character brand, not a one-off portfolio piece."
merch_v004_004,V004,figure,merch,"TAG Blind Box Series 01 ""Thai Culture""",behance.net,"Tripuck Supawattana (Bangkok, Thailand; Behance Pro status)",designer_portfolio_project,B,"Pro-status designer, dedicated Instagram channel, multi-artist collaborative series.",ORIGINAL_CREATOR_PUBLICATION,"LOW-MEDIUM — final figures/cards only, no process imagery.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Single collaborative series; specialist cultural-collaboration angle.
merch_v004_005,V004,figure,merch,BATON OFFICE | BLIND BOX COLLECTION,behance.net,"One Republic studio team (Ho Chi Minh City, Vietnam) — credited members linhoabch, KaydenMonday, momoneverknow, onethink",studio_portfolio_project,A,"Named multi-person studio team, each member individually linked; end-to-end deliverable set spans figures + packaging + retail display + social.",ORIGINAL_CREATOR_PUBLICATION,"HIGH — full production surface (figure, packaging, retail display, social) documented in one case study.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,PRIMARY_SOURCE,PENDING,Cross-domain reference value (merch-to-packaging); not expansion-tested but authority/depth signals are as strong as tested A-grade rows.
ecom_v174_001,V174,product photo,ecommerce,Amazon Listing Images | Luxury Skincare,behance.net,"Abdullah Jahangir (Sialkot, Pakistan; Behance Pro)",designer_portfolio_project,A,Pro designer with an active multi-project portfolio (6+ similar Amazon-listing case studies independently confirmed on profile).,ORIGINAL_CREATOR_PUBLICATION,HIGH — complete stated multi-component listing system (benefits/ingredients/usage/certification) with design rationale.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,"TESTED_L5 — creator profile independently confirmed via WebSearch+WebFetch (4,215 cumulative views across similar projects).",PRIMARY_SOURCE,PENDING,"Best-evidenced ecommerce product-photo candidate; recurring specialist practice, not a one-off."
ecom_v174_002,V174,product photo,ecommerce,Meno8 Menopause Supplement Product Photography,behance.net,Ivy Stewart / Bulletfish Creative (United Kingdom),studio_portfolio_project,B,Named UK studio (Bulletfish Creative) with a clear commercial specialty in supplement/health product photography.,ORIGINAL_CREATOR_PUBLICATION,"LOW-MEDIUM — clean conventional studio work, no process documentation.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Competent but conventional; single project without broader system shown.
ecom_v174_003,V174,product photo,ecommerce,High-End E-commerce Retouching: Footwear,behance.net,"Marina Shipilova (Almaty, Kazakhstan)",designer_portfolio_project,A,Well-engaged project (231 appreciates); before/after and animated GIF sequences give genuine process visibility.,ORIGINAL_CREATOR_PUBLICATION,"HIGH — explicit before/after + animated process documentation, not just a final image.",HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,TESTED_L4 — creator profile (L3) exists but was not independently re-verified beyond the link surfaced on the project page itself (PARTIAL).,PRIMARY_SOURCE,PENDING,Process-documentation depth is the distinguishing strength; creator-level verification is the one open item.
ecom_v174_004,V174,product photo,ecommerce,Luxury Jewelry Ring Still Life Photography & Retouching,behance.net,"Muhammad Hasan and ProPixFix (Rangpur, Bangladesh)",studio_portfolio_project,B,Two named collaborating creators with a clear jewelry-photography specialty.,ORIGINAL_CREATOR_PUBLICATION,MEDIUM — stated retouching detail on a single still-life project.,HIGH,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,SECONDARY_SOURCE,PENDING,Competent studio work; no broader process/system shown.
ecom_v174_005,V174,product photo,ecommerce,AMAZON A+ Content & Listing Images,behance.net,Shakil Ahmed (Bangladesh; Behance Pro),freelance_service_portfolio,C,Freelance-solicitation page (direct email/WhatsApp contact) with an unverified '300% better conversion' marketing claim.,ORIGINAL_CREATOR_PUBLICATION,"LOW — generic marketplace-style layout, no distinctive craft/provenance detail.",MEDIUM,"DIRECT — canonical_url == source_url, ACCESSIBLE.",AVAILABLE,NOT_TESTED,DO_NOT_SCALE,PENDING,Weakest of its query's 5 candidates per C2's own grading; unverified performance claims and generic presentation make this unsuitable for recurring acquisition.
