Top pages	Clicks	Impressions	CTR	Position
https://curify-ai.com/en	38	1495	2.54%	4.83
https://www.curify-ai.com/	33	847	3.90%	5.47
https://www.curify-ai.com/en	31	553	5.61%	5.38
https://curify-ai.com/en/video-dubbing	7	153	4.58%	13.39
https://www.curify-ai.com/es/video-dubbing	7	152	4.61%	20.89
https://www.curify-ai.com/en/video-dubbing	5	113	4.42%	32.43
https://www.curify-ai.com/en/blog/ae-vs-comfyui	4	401	1%	6.04
https://www.curify-ai.com/en/bilingual-subtitles	3	80	3.75%	10.47
https://www.curify-ai.com/nano-template/mbti-generic	3	37	8.11%	6.32
https://www.curify-ai.com/nano-banana-pro-prompts/3836	3	20	15%	6.1
https://www.curify-ai.com/tr/nano-banana-pro-prompts/4106	2	136	1.47%	4.64
https://www.curify-ai.com/en/about	2	110	1.82%	4.14
https://www.curify-ai.com/blog	2	69	2.90%	6.57
https://www.curify-ai.com/tools/bilingual-subtitles	2	52	3.85%	6.02
https://www.curify-ai.com/zh/about	2	45	4.44%	5.98
https://curify-ai.com/en/bilingual-subtitles	2	45	4.44%	9.6
https://curify-ai.com/en/nano-banana-pro-prompts/3782	2	21	9.52%	7.67
https://www.curify-ai.com/es/blog/asl-video-translator	2	19	10.53%	5.47
https://www.curify-ai.com/es/nano-banana-pro-prompts/940	2	15	13.33%	1.67
https://www.curify-ai.com/en/nano-template/template-fashion-ecommerce/example/template-fashion-ecommerce-zh-scarf	2	13	15.38%	7
https://www.curify-ai.com/zh/bilingual-subtitles	2	12	16.67%	5.5
https://www.curify-ai.com/de/nano-banana-pro-prompts/1190	2	10	20%	4.1
https://www.curify-ai.com/es/nano-banana-pro-prompts/745	2	9	22.22%	6.78
https://curify-ai.com/hi/nano-banana-pro-prompts/3101	2	7	28.57%	2.86
https://www.curify-ai.com/en/nano-banana-pro-prompts/4306	2	7	28.57%	3.71
https://curify-ai.com/tr/nano-banana-pro-prompts/2934	2	7	28.57%	15.14
https://curify-ai.com/en/nano-banana-pro-prompts/2396	2	5	40%	3.6
https://curify-ai.com/ko/nano-banana-pro-prompts/2249	2	5	40%	4.4
https://www.curify-ai.com/de/nano-banana-pro-prompts/1123	2	4	50%	2
https://www.curify-ai.com/en/blog/storyboard-to-pipeline	1	501	0.20%	7.43
https://www.curify-ai.com/tools/video-dubbing	1	87	1.15%	61.25
https://www.curify-ai.com/en/blog/storyboard-labeling	1	82	1.22%	7.33
https://www.curify-ai.com/blog/asl-video-translator	1	72	1.39%	14.32
https://www.curify-ai.com/blog/f5-tts-voice-cloning	1	63	1.59%	8.3
https://www.curify-ai.com/en/tools	1	61	1.64%	3.97
https://curify-ai.com/en/about	1	57	1.75%	4.63
https://www.curify-ai.com/en/nano-banana-pro-prompts/2122	1	53	1.89%	6.26
https://www.curify-ai.com/ru/blog/ai-youtube-video-translator	1	42	2.38%	6.71
https://www.curify-ai.com/en/nano-banana-pro-prompts/1146	1	39	2.56%	5.79
https://www.curify-ai.com/en/nano-template/book-series	1	34	2.94%	14.44
https://curify-ai.com/zh/video-dubbing	1	32	3.12%	7.62
https://www.curify-ai.com/ja/blog/ai-youtube-video-translator	1	31	3.23%	7.68
https://www.curify-ai.com/pricing	1	27	3.70%	5.48
https://curify-ai.com/en/nano-banana-pro-prompts/2212	1	23	4.35%	7.35
https://www.curify-ai.com/ja/blog/f5-tts-voice-cloning	1	22	4.55%	11.36
https://www.curify-ai.com/nano-banana-pro-prompts/2510	1	20	5%	7.75
https://curify-ai.com/en/nano-banana-pro-prompts/90	1	17	5.88%	8
https://curify-ai.com/es/nano-banana-pro-prompts/940	1	16	6.25%	2.31
https://www.curify-ai.com/ru/nano-banana-pro-prompts/812	1	15	6.67%	5.13
https://curify-ai.com/en/nano-banana-pro-prompts/549	1	14	7.14%	6.86
https://www.curify-ai.com/ru/nano-banana-pro-prompts/3622	1	13	7.69%	5
https://curify-ai.com/de/nano-banana-pro-prompts/2837	1	13	7.69%	7.23
https://www.curify-ai.com/en/nano-banana-pro-prompts/653	1	12	8.33%	11
https://curify-ai.com/de/nano-banana-pro-prompts/2331	1	11	9.09%	3.64
https://www.curify-ai.com/en/nano-banana-pro-prompts/1927	1	11	9.09%	4.73
https://curify-ai.com/tr/nano-banana-pro-prompts/164	1	11	9.09%	4.91
https://curify-ai.com/en/nano-banana-pro-prompts/1927	1	11	9.09%	8.45
https://curify-ai.com/en/nano-banana-pro-prompts/2660	1	9	11.11%	3.78
https://www.curify-ai.com/nano-template/template-fashion-ecommerce/example/template-fashion-ecommerce-zh-socks	1	9	11.11%	6.56
https://www.curify-ai.com/zh/blog/creative-ai-tools-websites	1	8	12.50%	5.5
https://www.curify-ai.com/en/nano-banana-pro-prompts/1166	1	8	12.50%	7
https://www.curify-ai.com/ja/nano-banana-pro-prompts/3292	1	8	12.50%	10
https://curify-ai.com/de/nano-banana-pro-prompts/1927	1	7	14.29%	6
https://www.curify-ai.com/ru/blog/translate-youtube-video-to-english	1	7	14.29%	9.14
https://www.curify-ai.com/en/nano-banana-pro-prompts/4016	1	7	14.29%	9.29
https://www.curify-ai.com/nano-template/template-food/example/template-food-en-neapolitan-pizza	1	6	16.67%	2.5
https://curify-ai.com/es/nano-banana-pro-prompts/1184	1	6	16.67%	12.5
https://www.curify-ai.com/ru/nano-banana-pro-prompts/3835	1	5	20%	2
https://curify-ai.com/ko/nano-banana-pro-prompts/948	1	5	20%	3.4
https://www.curify-ai.com/de/nano-banana-pro-prompts/480	1	5	20%	5.4
https://www.curify-ai.com/zh/nano-banana-pro-prompts/1925	1	5	20%	9
https://www.curify-ai.com/hi/nano-banana-pro-prompts/2848	1	5	20%	9.2
https://curify-ai.com/ja/nano-banana-pro-prompts/627	1	5	20%	21.8
https://curify-ai.com/hi	1	4	25%	4.5
https://www.curify-ai.com/zh/nano-template/mbti-contrast-zh	1	4	25%	5.5
https://curify-ai.com/tr/nano-banana-pro-prompts/3993	1	4	25%	6
https://www.curify-ai.com/nano-template/template-word-scene/example/template-word-scene-zh-military-base  1	1	4	25%	6.25
https://www.curify-ai.com/es/nano-banana-pro-prompts/3006	1	4	25%	7
https://www.curify-ai.com/fr/blog/asl-video-translator	1	4	25%	8
https://curify-ai.com/en/nano-banana-pro-prompts/1994	1	4	25%	11
https://curify-ai.com/en/nano-banana-pro-prompts/432	1	4	25%	46.25
https://curify-ai.com/es/nano-banana-pro-prompts/1002	1	3	33.33%	2.67
