Top queries,Clicks,Impressions,CTR,Position
curify ai,10,22,45.45%,1.0
curify studio,6,17,35.29%,1.4
asl video translator,5,89,5.62%,22.1
curify,4,146,2.74%,8.6
sign language video translator,3,22,13.64%,13.4
translate sign language video to english,3,14,21.43%,6.6
ai asl video translator,2,23,8.70%,6.9
ai video dubbing,2,27,7.41%,83.5
pele mbti,2,23,8.70%,3.1
prompt for women,2,7,28.57%,22.7
ai dubbing free,1,2,50.00%,100.5
asl to english video translator,1,8,12.50%,8.0
asl translator video,1,11,9.09%,17.1
asl video to text translator,1,6,16.67%,8.3
dubbing video,1,6,16.67%,82.7
erling haaland mbti,1,191,0.52%,8.7
free ai video dubbing,1,3,33.33%,81.7
haaland mbti,1,404,0.25%,9.2
prompt woman,1,3,33.33%,9.7
traductor de lenguaje de señas en video,1,6,16.67%,8.3
video dubbing ai free,1,1,100.00%,124.0
video dubbing com,1,1,100.00%,65.0
video dubbing.com,1,2,50.00%,79.5
yellowstone mbti,1,92,1.09%,6.8
コナン mbti,1,1,100.00%,19.0
콘스탄티노플 지도,1,8,12.50%,8.4
"""dana whitfield"" ""maple grove""",0,5,0.00%,10.0
"""dana whitfield"" maple grove",0,1,0.00%,7.0
"""facial_morphology"": nano banana",0,14,0.00%,6.5
"""marta"" prompt template",0,12,0.00%,6.5
"""without changing her face""",0,5,0.00%,8.4
+,0,2,0.00%,3.0
16personalities harry potter,0,1,0.00%,45.0
acrovid,0,1,0.00%,24.0
ai cvc words,0,1,0.00%,10.0
ai dub video,0,3,0.00%,79.3
ai dub video translator,0,1,0.00%,83.0
ai dub videos,0,2,0.00%,74.0
ai dubbed,0,1,0.00%,77.0
ai dubbed video,0,1,0.00%,67.0
ai dubbing,0,2,0.00%,79.0
ai dubbing free video translator,0,1,0.00%,83.0
ai dubbing speechify,0,1,0.00%,51.0
ai dubbing tool,0,3,0.00%,68.7
ai dubbing tools,0,4,0.00%,63.3
ai dubbing video,0,2,0.00%,76.0
ai dubbing video translator,0,1,0.00%,86.0
ai fantasy football prompts,0,1,0.00%,65.0
ai for dubbing videos,0,2,0.00%,73.0
ai haibara mbti,0,1,0.00%,11.0
ai photo prompts for women,0,1,0.00%,16.0
ai prompt for women,0,1,0.00%,19.0
ai prompt woman,0,1,0.00%,9.0
ai prompt women,0,1,0.00%,9.0
ai repair video,0,1,0.00%,79.0
ai sign language live translation,0,1,0.00%,58.0
ai video dub,0,1,0.00%,77.0
ai video dubber,0,1,0.00%,77.0
ai video dubbing free,0,1,0.00%,72.0
ai video dubbing free online,0,1,0.00%,77.0
ai video dubbing free unlimited,0,3,0.00%,93.3
ai video dubbing online free,0,2,0.00%,71.5
