evidence_id,case_id,step_id,evidence_type,source_url,source_section,evidence_description,support_level,local_evidence_path,notes
EV01,education_001,step_01_video_story_lesson,quote,https://www.woshipm.com/pd/3673908.html,一、拆解还原：斑马英语的一周课程之旅？(intro),"Weekly cadence: ""Zebra English structures learning around weekly themes, with the first three days as new content days and the last two days as review days.""",DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09 (recovery re-check); also supports final_outputs weekly-review claim
EV02,education_001,step_01_video_story_lesson,quote,https://www.woshipm.com/pd/3673908.html,一、课程组成 > 1. Video,"""Days 1-4 feature 3-5 minute fully English-language fairy tale dramas. Children infer plot while absorbing target vocabulary and sentence patterns.""",DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09
EV03,education_001,step_01_video_story_lesson,paraphrase,https://www.woshipm.com/pd/3673908.html,一、课程组成 > 1. Video,Episodes across Monday-Thursday connect into one continuous weekly storyline (source frames the 4 days' videos as a serialized story arc rather than isolated daily units),DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09
EV04,education_001,step_08_friday_live_class,quote,https://www.woshipm.com/pd/3673908.html,一、课程组成 > 2. TV Live Class,"""Friday's 20-minute session functions as a 'weekly knowledge review.' It mimics 'foreign teacher live class with peer competition,' where children follow along with the teacher, using English to solve problems and advance the story.""",DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09
EV05,education_001,step_02_word_cards,quote,https://www.woshipm.com/pd/3673908.html,一、课程组成 > 3. Word,"""Illustrated electronic flashcards with audio.""",DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09; exact intra-day position relative to Quiz/Zebra Call inferred from article's own listed order (item 3); not explicit sequencing language
EV06,education_001,step_03_story_reading_and_followalong,quote,https://www.woshipm.com/pd/3673908.html,一、课程组成 > 4. Story & Speaking,"""Days 1-4 include picture book reading followed by repetition practice, reinforcing daily lessons through new contextual stories.""",DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09
EV07,education_001,step_04_quiz,quote,https://www.woshipm.com/pd/3673908.html,一、课程组成 > 5. Quiz,"""采取的是最朴素的形式，没有做太多炫丽的包装。但在练习设计上，从多个维度练习同一个知识点"" (plainest format, no elaborate visual packaging; but exercise design practices the same knowledge point across multiple dimensions -- pronunciation, meaning, written form)",DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09; exact intra-day position inferred from listed article order; not explicit sequencing language
EV08,education_001,step_05_zebra_call,quote,https://www.woshipm.com/pd/3673908.html,一、课程组成 > 6. Zebra Call,"""An external teacher appears on camera conversing with the child about surrounding objects, reviewing today's vocabulary through guided interaction with built-in response pauses.""",DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09; explicit review-checkpoint framing supports professional_rule; exact intra-day position medium confidence
EV09,education_001,step_06_wechat_teacher_video,quote,https://www.woshipm.com/pd/3673908.html,一、课程组成 > 7. WeChat Chinese Teacher Videos,"""Daily video messages provide guided reading of the day's words and sentences, with pronunciation guidance.""",DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09; explicit daily framing
EV10,education_001,step_07_wechat_group_homework,quote,https://www.woshipm.com/pd/3673908.html,一、课程组成 > 8. WeChat Group Homework Service,"""Daily tasks ask children to record videos using learned vocabulary/sentences in real contexts, submitting to the group. Teaching assistants provide individual voice feedback.""",DIRECT,evidence/key_quotes.txt,Confirmed via WebFetch on 2026-08-09; explicit daily framing
EV11,education_001,,quote,https://www.woshipm.com/pd/3673908.html,二、分析思考 > 1. 关键因素,"""3-7岁儿童的短时记忆容量仅为『3加减2』个组块...""；及""这个单词在一周中至少被循环9+次，且形式多样...""",DIRECT,evidence/key_quotes.txt,Supports professional_constraints (memory-capacity and repetition-cycling claims); not a workflow step in its own right; no step_id
EV12,education_001,,quote,https://www.woshipm.com/pd/3673908.html,二、分析思考 > 1. 关键因素 > 『有效』的第二层,"Learning report (学习报告) referenced as functioning as an ""immediate-effectiveness signal"" (即时效果暗示) to parents",PARTIAL,evidence/key_quotes.txt,"Report's existence/purpose is directly quoted but no detail on content/format/data source is given, so it cannot be reconstructed as a workflow step; listed only as a known output artifact in final_outputs, not in workflow_steps"
EV13,education_001,,quote,https://www.woshipm.com/pd/3673908.html,二、分析思考 > 1. 关键因素,"""外教综合运用韵律教学，tpr教学等方法，通过歌曲韵律+夸张的动作表情+不断重复.""",DIRECT,evidence/key_quotes.txt,"Supports professional_constraints teaching-methodology principle; general to the product, not tied to one single step_id"
EV14,education_001,,quote,https://www.woshipm.com/pd/3673908.html,三、写在最后,"Self-developed (自研) content strategy chosen over licensing existing textbooks, described as a harder ""different path""; also: ""AI仍停留概念阶段"" (AI branding still largely conceptual) and lower content density vs. competitors (L2 level: only 3 daily words / 1-3 sentence patterns)",DIRECT,evidence/key_quotes.txt,Supports production_or_delivery_requirements.confirmed (self-developed strategy) and source_limitations (stated product weaknesses); not a workflow step; no step_id
