source_id,query_id,query,domain,canonical_url,level_1_asset,level_2_page,level_3_creator,level_4_section,level_5_domain_or_subdomain,best_expansion_level,notes
merch_v004_001,V004,figure,merch,https://www.behance.net/gallery/252973693/MIKO-ART-TOY,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,5,Individual render (L1) part of one project page (L2); creator profile behance.net/migguercio (L3) confirmed to exist with multiple projects; Behance 'Toy Design' curated gallery (L4) is the discovery surface itself; Behance product-design/toy-design category (L5) is a large active category. Not deep-crawled beyond confirming existence/accessibility of each level.
merch_v004_003,V004,figure,merch,https://www.behance.net/gallery/247684035/Octopus-Starfy-Dessert-Blind-Box,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,5,"Best-performing expansion test of the pilot. L1: individual sketch/prototype/product-photo images on the page. L2: full project page with process documentation. L3: creator profile behance.net/raccoonfactory independently confirmed via WebSearch — active studio since 2017 with a consistent published character IP (Starfy) across 10+ dated projects (2017-2026), plus an external Instagram (@starfy_smile) and a live AliExpress sales listing. L4: Behance 'Toy Design' curated gallery. L5: Behance product-design/toy-design category. This candidate demonstrates the full 5-level chain most convincingly of any V004 candidate — a single blind-box search result expands into a durable, multi-year, cross-platform character brand."
ecom_v174_001,V174,product photo,ecommerce,https://www.behance.net/gallery/247950949/Amazon-Listing-Images-Luxury-Skincare,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,5,"L1: individual listing panel images (benefit/ingredient/usage graphics). L2: full project page as a stated 'complete visual system'. L3: creator profile behance.net/Abdullahjahangir independently confirmed via WebSearch+WebFetch — active Pro portfolio with 6+ similar Amazon-listing case studies (skincare, supplements, gummies, cooling pads) and 4,215 cumulative views. L4: Behance ecommerce-product-photography search surface used for discovery. L5: Behance's broader e-commerce/product-design category. Full chain supported without deep-crawling beyond confirming each level's existence."
ecom_v174_003,V174,product photo,ecommerce,https://www.behance.net/gallery/247830083/High-End-E-commerce-Retouching-Footwear,SUPPORTED,SUPPORTED,PARTIAL,SUPPORTED,SUPPORTED,4,"L1: individual before/after image pairs and GIF sequences. L2: full project page. L3: creator profile (behance.net/fenweth) exists but was not independently re-verified beyond the link surfaced on the project page itself (PARTIAL — not confirmed via a second independent search as was done for ecom_v174_001). L4/L5: same Behance ecommerce-product-photography search surface and category. Best-supported level given available verification is L4 (discovery-surface/category), with L3 plausible but unconfirmed to the same standard."
merch_v014_001,V014,sticker,merch,https://www.behance.net/gallery/251388765/UNHCR-character-Stickers,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,5,"L1: individual GIF stickers. L2: full project page describing the UNHCR collaboration. L3: creator profile behance.net/Ryujungmin plus an independent Instagram (@jungmin_studio) both referenced on the page. L4: Behance sticker-sheet search surface used for discovery. L5: Behance's broader character-design/sticker category. Not independently re-verified via a second external search beyond the project page's own stated links, but all levels are directly present and accessible."
merch_v014_005,V014,sticker,merch,https://www.behance.net/gallery/190367193/Sexy-Veggies-sticker-sheet,SUPPORTED,SUPPORTED,SUPPORTED,PARTIAL,SUPPORTED,4,"L1: individual vegetable-character stickers. L2: full project page. L3: independently verified via WebFetch — creator's own site (itsnotthatweird.online, redirected from itsnotthatweird.shop) confirms identity (carlyberry.design email), portfolio, wholesale-via-Faire, and Patreon presence. L4 (a themed collection/section specifically for this sticker line): PARTIAL — the creator's shop section for this specific product is currently inactive ('Shop will be back soon'), so the product-collection page itself is not currently browsable, though the creator hub exists. L5: Behance's sticker/character-design category. This is the strongest example in the pilot of a Behance discovery result expanding to an independently confirmed, real personal commerce/creator site beyond the discovery platform."
ecom_v216_003,V216,influencer post,ecommerce,https://www.behance.net/gallery/68508883/Influencer-Media-Kit,SUPPORTED,SUPPORTED,SUPPORTED,PARTIAL,SUPPORTED,4,"L1: individual template page layouts within the bundle. L2: full project page describing the 4-template bundle. L3: independently verified via WebFetch — creator's own site (fallontravels.com, 'The Template Cure' brand) is active, Squarespace-built, professionally maintained, selling a related 750+ template bundle and a free lead-magnet template set; also references a Creative Market shop. L4 (a themed collection/section specifically for influencer media kits on her own site): PARTIAL — the personal site's shop is organized around general Canva template bundles, not a dedicated media-kit-only section confirmed in this fetch. L5: Behance's influencer-media-kit search category. Confirms a real, ongoing small digital-product business behind a single Behance listing."
edu_v248_001,V248,flashcard,education,https://www.behance.net/gallery/228273137/My-First-Vehicles-Flashcards-20-Printable-3D-Cartoon,SUPPORTED,SUPPORTED,PARTIAL,SUPPORTED,SUPPORTED,4,"L1: individual vehicle flashcard illustrations. L2: full project page with product spec (20-card PDF set). L3: page links to an Etsy shop for purchase, but the exact shop/profile could not be independently re-confirmed via a separate search in this session (search results returned only generic Etsy category pages, not the specific 'Creative Bayte' shop) -- PARTIAL rather than SUPPORTED. L4: Behance flashcards-design search surface used for discovery. L5: Behance's kids-education/flashcard category. Best independently confirmed level is L4/L2; creator-level (L3) plausible but unverified to the same standard as other pilot candidates."
brand_v084_003,V084,logo,brand_logo,https://www.behance.net/gallery/236620489/Design-Monks-UXUI-Agency-Brand-Identity-Logo-Design,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,5,"L1: individual logo lockups/marketing panels. L2: full self-branding case study page. L3: creator (Design Monks agency) independently verified via WebFetch of designmonks.co — fully operational agency site with services, named client case studies (Triply, Fitmate, Yenex), 200+ claimed clients, 4.9-star rating, multi-office listing. L4: Behance logo-case-study search surface used for discovery. L5: Behance's brand-identity/logo-design category. Strongest expansion result in the brand_logo domain -- a self-branding portfolio piece expands into a verifiably real, active, multi-client agency."
edu_v260_002,V260,certificate,education,https://www.behance.net/gallery/242821429/Certificate-Design-as-a-Brand-Touchpoint,SUPPORTED,SUPPORTED,ACCESS_BLOCKED,SUPPORTED,SUPPORTED,4,"L1: individual certificate layout images. L2: full project page with stated design philosophy. L3: creator's own linked external site (kotomkina.com) returned HTTP 402 Payment Required when independently fetched -- the site is currently inaccessible (likely a lapsed hosting/subscription), so this level is ACCESS_BLOCKED rather than SUPPORTED, despite the creator's Behance profile itself (6+ other branding projects) being fully accessible and used as a partial substitute for creator-level verification. L4: Behance certificate-design search surface used for discovery. L5: Behance's certificate/brand-design category. Honest example of an expansion chain hitting a real-world access blocker at the creator-owned-site level."
brand_v094_005,V094,business card,brand_logo,https://www.behance.net/gallery/223494785/Nook-Coffee,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,SUPPORTED,5,"L1: individual business-card/stationery mockup images. L2: full project case-study page with stated design rationale. L3: creator independently verifiable via linked LinkedIn/Instagram (Bruno Lopes). L4/L5: independently confirmed via a separate WebSearch that 'Nook Coffee' is a real, currently-operating cafe in Pelotas, Brazil, co-located with a furniture store -- matching the case study's own description almost exactly (address area, shared-building detail). Strongest real-world-business confirmation of any V094 candidate, and one of the strongest in the full pilot."
