source_id,query_id,query,domain,subdomain,title,thumbnail,thumbnail_status,source_url,canonical_url,source_domain,creator_or_author,discovered_via,source_type,tags,content_understanding,source_quality_recommendation,source_quality_reason,human_review_status,access_status,source_expansion_status
merch_v004_001,V004,figure,merch,figure_generic,MIKO® ART-TOY,thumbnails/merch_v004_001.jpg,AVAILABLE,https://www.behance.net/gallery/252973693/MIKO-ART-TOY,https://www.behance.net/gallery/252973693/MIKO-ART-TOY,behance.net,"Miguel Guercio (Parma, Italy)",WebSearch + Behance toy-design curated gallery,designer_portfolio_project,merch;figure;character_design;3d_toy;art_toy;cute_style,"3D-rendered collectible art-toy character design; colorful, cute stylization; single-character focus shown across multiple render angles; built in Blender with Illustrator/Photoshop finishing per stated tools.",B,"Real individual designer's own Behance publication with credited tools and consistent professional presentation, but a single-character project with moderate engagement and no visible production/process documentation beyond final renders.",PENDING,ACCESSIBLE,TESTED
merch_v004_002,V004,figure,merch,figure_generic,Vinyl Figures: Logo + Full Collection,thumbnails/merch_v004_002.jpg,AVAILABLE,https://www.behance.net/gallery/250994817/Vinyl-Figures-Logo-Full-Collection,https://www.behance.net/gallery/250994817/Vinyl-Figures-Logo-Full-Collection,behance.net,Irina Bolgova (Russian Federation) for brand BLOBBO,WebSearch + Behance toy-design curated gallery,designer_portfolio_project,merch;figure;character_design;vinyl_figure;logo_brand_identity;collection_set,Combined logo-design-plus-toy-collection case study for a vinyl collectible figure brand (BLOBBO); ~15+ images show consistent branding/visual language applied across a multi-figure lineup.,B,"Real named designer's own case study combining brand identity and a full figure collection, professionally presented; single freelance project, moderate engagement, no external site beyond Behance/Telegram.",PENDING,ACCESSIBLE,NOT_TESTED
merch_v004_003,V004,figure,merch,figure_generic,Octopus Starfy Dessert Blind Box,thumbnails/merch_v004_003.jpg,AVAILABLE,https://www.behance.net/gallery/247684035/Octopus-Starfy-Dessert-Blind-Box,https://www.behance.net/gallery/247684035/Octopus-Starfy-Dessert-Blind-Box,behance.net,"RACCOON FACTORY (Seoul, Korea) — established character-brand studio, active since 2017",WebSearch + Behance toy-design curated gallery,studio_portfolio_project,merch;figure;character_design;blind_box;dessert_theme;product_photography,"Blind-box collectible figure collection (dessert-themed octopus character 'Starfy'); page shows design sketches and prototype-development images alongside final product photography against neutral backgrounds, illustrating concept-to-production stages.",A,"Established, multi-year active character-brand studio with a consistent published IP (Starfy) across many projects; this page shows sketch/prototype/product-photo stages (not just final output) plus a real commercial sales link and social presence.",PENDING,ACCESSIBLE,TESTED
merch_v004_004,V004,figure,merch,figure_generic,"TAG Blind Box Series 01 ""Thai Culture""",thumbnails/merch_v004_004.jpg,AVAILABLE,https://www.behance.net/gallery/246538595/TAG-Blind-Box-Series-01-Thai-Culture,https://www.behance.net/gallery/246538595/TAG-Blind-Box-Series-01-Thai-Culture,behance.net,"Tripuck Supawattana (Bangkok, Thailand; Behance Pro status)",WebSearch + Behance toy-design curated gallery,designer_portfolio_project,merch;figure;character_design;blind_box;soft_vinyl;cultural_theme,Soft-vinyl blind-box collectible series produced as a multi-artist collaboration on a Thai-culture theme; page shows multiple designer character figures plus collectible cards and design variations.,B,"Pro-status designer with a distinctive cultural-collaboration angle and dedicated Instagram channel; strong specialist inspiration value, but single collaborative series with no process/production imagery shown.",PENDING,ACCESSIBLE,NOT_TESTED
merch_v004_005,V004,figure,merch,figure_generic,BATON OFFICE | BLIND BOX COLLECTION,thumbnails/merch_v004_005.jpg,AVAILABLE,https://www.behance.net/gallery/248907745/BATON-OFFICE-BLIND-BOX-COLLECTION,https://www.behance.net/gallery/248907745/BATON-OFFICE-BLIND-BOX-COLLECTION,behance.net,"One Republic studio team (Ho Chi Minh City, Vietnam) — credited members linhoabch, KaydenMonday, momoneverknow, onethink",WebSearch + Behance toy-design curated gallery,studio_portfolio_project,merch;figure;character_design;blind_box;packaging;retail_display,"Office-life-themed blind-box character collection (3 animal protagonists) spanning figure design, primary blind-box packaging, secondary retail display, and social assets; minimalist pastel 3D style built in Blender.",A,"Named multi-person studio team with individually linked portfolios, professionally presented end-to-end deliverable set (figures + packaging + retail display + social), directly useful as a merch-to-packaging cross-domain reference.",PENDING,ACCESSIBLE,NOT_TESTED
ecom_v174_001,V174,product photo,ecommerce,product_photography,Amazon Listing Images | Luxury Skincare,thumbnails/ecom_v174_001.jpg,AVAILABLE,https://www.behance.net/gallery/247950949/Amazon-Listing-Images-Luxury-Skincare,https://www.behance.net/gallery/247950949/Amazon-Listing-Images-Luxury-Skincare,behance.net,"Abdullah Jahangir (Sialkot, Pakistan; Behance Pro)",WebSearch + Behance project-search results,designer_portfolio_project,ecommerce;product_photography;listing_design;skincare;amazon_a_plus;lifestyle_photography,"Full Amazon-listing visual system for a micellar-water cleanser: product photography, lifestyle imagery, ingredient infographics, and how-to panels in a stated royal-navy/Playfair Display + Montserrat identity aimed at conveying clean luxury and clinical trust.",A,"Named Pro designer with an active multi-project portfolio (6+ similar Amazon-listing case studies confirmed on profile); this page shows a complete, stated multi-component listing system (benefits/ingredients/usage/certification) with explicit design rationale, not just a single hero shot.",PENDING,ACCESSIBLE,TESTED
ecom_v174_002,V174,product photo,ecommerce,product_photography,Meno8 Menopause Supplement Product Photography,thumbnails/ecom_v174_002.jpg,AVAILABLE,https://www.behance.net/gallery/182137947/Meno8-Menopause-Supplement-Product-Photography,https://www.behance.net/gallery/182137947/Meno8-Menopause-Supplement-Product-Photography,behance.net,Ivy Stewart / Bulletfish Creative (United Kingdom),WebSearch + Behance project-search results,studio_portfolio_project,ecommerce;product_photography;supplement;studio_lighting;neutral_background,Styled and edited studio product photography for a supplement brand; product packaging shot against neutral backgrounds with professional lighting typical of e-commerce listing photography.,B,"Named UK studio (Bulletfish Creative) with a clear commercial specialty in supplement/health product photography; clean, competent, conventional studio work, single project without process documentation.",PENDING,ACCESSIBLE,NOT_TESTED
ecom_v174_003,V174,product photo,ecommerce,product_photography,High-End E-commerce Retouching: Footwear,thumbnails/ecom_v174_003.jpg,AVAILABLE,https://www.behance.net/gallery/247830083/High-End-E-commerce-Retouching-Footwear,https://www.behance.net/gallery/247830083/High-End-E-commerce-Retouching-Footwear,behance.net,"Marina Shipilova (Almaty, Kazakhstan)",WebSearch + Behance project-search results,designer_portfolio_project,ecommerce;product_photography;retouching;footwear;before_after;process_documentation,"Footwear product-retouching case study showing before/after comparisons and animated (GIF) sequences of the retouching transformation, aimed at listing clarity/consistency; commercial product photography with visible editing-process documentation.",A,"Named designer with a well-engaged project (231 appreciates); distinguished from typical single-image portfolios by showing explicit before/after and animated process documentation, giving genuine process visibility rather than only a final result.",PENDING,ACCESSIBLE,TESTED
ecom_v174_004,V174,product photo,ecommerce,product_photography,Luxury Jewelry Ring Still Life Photography & Retouching,thumbnails/ecom_v174_004.jpg,AVAILABLE,https://www.behance.net/gallery/234853381/Luxury-Jewelry-Ring-Still-Life-Photography-Retouching,https://www.behance.net/gallery/234853381/Luxury-Jewelry-Ring-Still-Life-Photography-Retouching,behance.net,"Muhammad Hasan and ProPixFix (Rangpur, Bangladesh)",WebSearch + Behance project-search results,studio_portfolio_project,ecommerce;product_photography;jewelry;still_life;studio_lighting;retouching,"Studio still-life photography of gold/diamond rings with strategic lighting to emphasize sparkle and texture on neutral backgrounds, combined with detail-level post-processing retouching for commercial use.",B,"Two named collaborating creators with a clear jewelry-photography specialty; competent studio still-life work with stated retouching detail, but a single project with no broader process/system shown.",PENDING,ACCESSIBLE,NOT_TESTED
ecom_v174_005,V174,product photo,ecommerce,product_photography,AMAZON A+ Content & Listing Images,thumbnails/ecom_v174_005.jpg,AVAILABLE,https://www.behance.net/gallery/190268013/AMAZON-A-Content-Listing-Images,https://www.behance.net/gallery/190268013/AMAZON-A-Content-Listing-Images,behance.net,Shakil Ahmed (Bangladesh; Behance Pro),WebSearch + Behance project-search results,freelance_service_portfolio,ecommerce;product_photography;listing_design;amazon_a_plus;freelance_service,Generic Amazon EBC/A+ content and listing-image layouts presented as a freelance-service portfolio; standard marketplace-style product presentation formatting without a distinctive visual identity.,C,"Freelance-solicitation-style page (direct email/WhatsApp contact) with a generic, unverified conversion-rate marketing claim ('300% better conversion') and conventional layout; lower distinctive craft/provenance value than the other 4 candidates for this query.",PENDING,ACCESSIBLE,NOT_TESTED
merch_v014_001,V014,sticker,merch,sticker,UNHCR character Stickers,thumbnails/merch_v014_001.jpg,AVAILABLE,https://www.behance.net/gallery/251388765/UNHCR-character-Stickers,https://www.behance.net/gallery/251388765/UNHCR-character-Stickers,behance.net,"Jungmin Studio (Rotterdam, Netherlands)",WebSearch + Behance project-search results (sticker sheet),designer_portfolio_project,merch;sticker;character_design;emoji;animated_gif;institutional_client,"Animated (GIF-format) emoji-style character sticker set created for UNHCR (United Nations High Commissioner for Refugees); vibrant, friendly character illustrations designed for humanitarian-organization messaging use.",A,Real institutional client (UNHCR) with creator-stated in-person collaboration with the client team; named studio with an active Instagram presence; a genuine professional commission rather than a speculative personal project.,PENDING,ACCESSIBLE,TESTED
merch_v014_002,V014,sticker,merch,sticker,'Sweetless' Sticker Sheet,thumbnails/merch_v014_002.jpg,AVAILABLE,https://www.behance.net/gallery/248254715/Sweetless-Sticker-Sheet,https://www.behance.net/gallery/248254715/Sweetless-Sticker-Sheet,behance.net,"Samantha Gutierrez (Lima, Peru)",WebSearch + Behance project-search results (sticker sheet),designer_portfolio_project,merch;sticker;character_design;digital_illustration;animated_gif,"Sticker sheet combining animated GIFs and static PNGs with expressive character illustrations in a cohesive digital-art style, built in Photoshop.",B,"Named independent illustrator with an active Instagram portfolio presence beyond Behance; competent, cohesive single sticker-sheet project with moderate engagement.",PENDING,ACCESSIBLE,NOT_TESTED
