evidence_id,case_id,step_id,evidence_type,source_url,source_section,evidence_description,support_level,local_evidence_path,notes
EV-01,merch_001,step_01,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【1】取景+构思插画 (Reference & Conceptualization),"States Google Street View used as base reference but on-site shooting needed for details/angles; aerial photography or original architectural drawings (平立剖) used for inaccessible angles; large-scale Photoshop photo collaging and rough sketching to simplify buildings.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-02,merch_001,step_02,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【2】插画绘制 (Illustration Drawing),"States explicit pipeline: PS photo base -> sketch tracing -> line cleanup -> AI vector drawing -> color blocking -> PS refinement -> multi-size adaptation; throughput ~10 illustrations/month (~3 days each); 2-3 discarded drafts, some full redraws.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-03,merch_001,step_03,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【3】产品设计（两周） (Product Design - 2 weeks),"States each image required significant background/scenery repositioning and supplemental painting to adapt to postcard/phone case/badge/magnet aspect ratios; the Engineering Building illustration cited as undergoing near-total compositional rearrangement.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-04,merch_001,step_04,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【4】包装设计（一周） (Packaging Design - 1 week),"States packaging/unboxing research; factory MOQ of ~10,000 units vs. actual need of ~500; custom stamp made for on-demand logo application; boxes hand-folded; kraft paper + plastic bag layering for protection.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-05,merch_001,step_05,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【5】测试样品 (Sample Testing),"States each product tested with 3-5 manufacturers, evaluated on color accuracy (色差), price, and packaging specification.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-06,merch_001,step_06,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【6】版权/法务 (Copyright/Legal),"States review of Singapore Trade Mark Act and Copyright Act, multiple lawyer consultations; constraint that university logos/registered trademarked names could never appear on products or packaging; some buildings have asserted architectural/portrait rights and were excluded from illustration.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-07,merch_001,step_07,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【7】定价 (Pricing),"States rejection of low-price/high-volume strategy; pricing set to Singapore market/student buyer persona (postcard ~$1 SGD, magnet ~$4 SGD, mug ~$12 SGD); 7-8% bundle discount; tiered spend promotions ($10/$20/$35 SGD thresholds).",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-08,merch_001,step_08,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【8】验货 (Quality Inspection),"States initial inadequate QC caused product variation; specific defect categories for sphere magnets (weight/height/position, glass damage) and phone cases (print shadowing/misaligned cuts); refunds processed for defective units; described as the designer's largest source of loss.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-09,merch_001,step_09,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【9】上架/拍照 (Listing/Photography),"States ~100+ product variants; designer set up a simple in-house photo studio for product photography.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-10,merch_001,step_10,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【10】宣传 (Marketing/Promotion),"States promotion began only after inventory received; pre-launch prep included ~200 promotional/detail-page images across platforms, delivery-team coordination on handoff logistics, and full listing setup.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-11,merch_001,step_11,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【11】物流+配送 (Logistics/Delivery),"States campus food-delivery app as primary channel; concern over oil contamination/crushing led to multi-layer protective packaging (kraft paper bag inside plastic bag) per pickup point; Excel-formatted printed labels.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-12,merch_001,step_12,text,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,【12】运营（持续一个月） (Operations - ongoing 1 month),"States sole-operator duties: backend listing edits/verification, order intake, customer service, inventory management, fulfillment, delivery coordination, after-sales, financial reporting, profit calculation.",DIRECT,evidence/key_quotes.md,Independently verified via WebFetch on 2026-08-09
EV-13,merch_001,none,text,https://www.lkkdesign.com/anli/anlilook/id/65.html,故宫猫 case study page (full page),"Rejected alternate candidate (MERCH-02). Page confirmed via independent WebFetch to contain strong business/strategic narrative (research, concept rationale, SKU/output figures) but explicitly NO sequential design stages, sketches, prototypes, or intermediate iteration evidence -- fails process-visibility/evidence-completeness criteria relative to MERCH-01.",NONE,evidence/selection_rationale.md,"Retained for selection-rationale documentation only; support_level NONE because it does not support any merch_001 workflow step"
