Page,Clicks,Impressions,CTR,Position
https://www.curify-ai.com/blog/brazil-argentina-soccer-poster-prompts,1719,41570,4.14%,7.1
https://www.curify-ai.com/blog/portugal-soccer-poster-prompts,1535,42167,3.64%,6.7
https://www.curify-ai.com/blog/world-cup-2026-ai-prompt-hub,1284,11390,11.27%,5.5
https://www.curify-ai.com/blog/50-world-cup-2026-ai-prompts,329,3629,9.07%,6.7
https://www.curify-ai.com/blog/france-soccer-poster-prompts,179,4090,4.38%,7.0
https://www.curify-ai.com/,83,801,10.36%,9.5
https://www.curify-ai.com/es/blog/world-cup-2026-ai-prompt-hub,76,1486,5.11%,7.3
https://www.curify-ai.com/blog/asl-video-translator,48,1356,3.54%,10.7
https://www.curify-ai.com/tools/bilingual-subtitles,34,1116,3.05%,9.2
https://www.curify-ai.com/ko/blog/preserve-facial-features-ai-generation,23,399,5.76%,7.1
https://www.curify-ai.com/es/blog/asl-video-translator,22,310,7.10%,7.0
https://www.curify-ai.com/tr/blog/world-cup-2026-ai-prompt-hub,20,160,12.50%,4.7
https://www.curify-ai.com/blog/mbti-character-generator,18,1277,1.41%,8.0
https://www.curify-ai.com/nano-template/travel,17,301,5.65%,6.3
https://www.curify-ai.com/nano-template/world-cup-team-sticker-poster/example/template-world-cup-team-sticker-poster-spain,16,195,8.21%,7.9
https://www.curify-ai.com/fr/blog/world-cup-2026-ai-prompt-hub,15,132,11.36%,5.6
https://www.curify-ai.com/tools/video-dubbing,15,282,5.32%,29.8
https://www.curify-ai.com/ko/blog/character-prompt-generator,14,292,4.79%,8.0
https://www.curify-ai.com/nano-banana-pro-prompts/tag/woman,14,224,6.25%,23.3
https://www.curify-ai.com/topics/world-cup,14,250,5.60%,8.6
https://www.curify-ai.com/blog/world-cup-2026-top-contenders,12,173656,0.01%,9.2
https://www.curify-ai.com/tools/asl-video-translator,11,140,7.86%,7.8
https://www.curify-ai.com/zh/nano-template/mbti-generic,10,54,18.52%,7.6
https://www.curify-ai.com/zh/nano-template/character,9,185,4.86%,6.9
https://www.curify-ai.com/zh/nano-template/travel,8,89,8.99%,5.8
https://www.curify-ai.com/blog/ai-1v1-soccer-rivalry-prompts,7,363,1.93%,7.4
https://www.curify-ai.com/es/video-dubbing,7,74,9.46%,42.3
https://www.curify-ai.com/nano-template/celebrity-movie-group-poster/example/template-celebrity-movie-group-poster-germany-2026-world-cup-squad,7,131,5.34%,7.0
https://www.curify-ai.com/ko/blog/world-cup-2026-ai-prompt-hub,6,128,4.69%,5.8
https://www.curify-ai.com/zh/,6,36,16.67%,2.6
https://www.curify-ai.com/de/blog/world-cup-2026-ai-prompt-hub,5,73,6.85%,5.1
https://www.curify-ai.com/nano-template/mbti-generic/example/template-mbti-generic-Football-Pele-Maradona-Zinedine-Zidane-Ronaldinho,5,378,1.32%,4.6
https://www.curify-ai.com/zh,5,8,62.50%,2.0
https://www.curify-ai.com/zh/blog/brazil-argentina-soccer-poster-prompts,5,122,4.10%,6.1
https://www.curify-ai.com/blog/character-prompt-generator,4,271,1.48%,10.7
https://www.curify-ai.com/blog/fifa-2026-host-city-travel-guide,4,831,0.48%,22.8
https://www.curify-ai.com/blog/world-cup-fan-outfit-prompts,4,51,7.84%,7.8
https://www.curify-ai.com/nano-banana-pro-prompts/tag/dreamy,4,45,8.89%,9.5
https://www.curify-ai.com/nano-template/football-tournament-retro-infographic-poster/example/template-football-tournament-retro-infographic-poster-1986-world-cup-mexico,4,6,66.67%,3.8
https://www.curify-ai.com/nano-template/mbti-nba/example/template-mbti-nba-lamine-yamal,4,724,0.55%,5.8
https://www.curify-ai.com/ru/nano-template/mbti-ghibli,4,35,11.43%,5.7
https://www.curify-ai.com/zh/nano-template/solar-term,4,88,4.55%,9.2
https://www.curify-ai.com/blog/f5-tts-voice-cloning,3,5533,0.05%,9.9
https://www.curify-ai.com/blog/preserve-facial-features-ai-generation,3,807,0.37%,6.4
https://www.curify-ai.com/en/nano-template/world-cup-debut-team-preview-poster?team_info=cape+verde+island+dreams,3,22,13.64%,8.0
https://www.curify-ai.com/fr/topics/chic,3,7,42.86%,4.1
https://www.curify-ai.com/ja/blog/lip-sync-technical-deep-dive,3,68,4.41%,5.8
https://www.curify-ai.com/ja/blog/world-cup-2026-ai-prompt-hub,3,21,14.29%,6.8
https://www.curify-ai.com/ko/blog/image-generation-model-comparison,3,94,3.19%,10.2
https://www.curify-ai.com/ko/tools/video-summarizer,3,23,13.04%,14.8
https://www.curify-ai.com/nano-banana-pro-prompts/1211,3,11,27.27%,2.5
