Page,Query,Clicks,Impressions,CTR,Position
https://www.curify-ai.com/nano-template/mbti-nba/example/template-mbti-nba-erling-haaland,haaland mbti,1,404,0.25%,9.2
https://www.curify-ai.com/nano-template/mbti-nba/example/template-mbti-nba-erling-haaland,erling haaland mbti,1,191,0.52%,8.7
https://www.curify-ai.com/,curify,2,130,1.54%,7.7
https://www.curify-ai.com/nano-template/mbti-nba/example/template-mbti-nba-lamine-yamal,lamine yamal mbti,0,123,0.00%,5.5
https://www.curify-ai.com/blog/mbti-character-generator,random mbti generator,0,88,0.00%,6.8
https://www.curify-ai.com/tools/asl-video-translator,asl video translator,5,78,6.41%,29.1
https://www.curify-ai.com/nano-template/mbti-naruto/example/template-mbti-naruto-Minato-Namikaze,minato personality,0,71,0.00%,5.6
https://www.curify-ai.com/es/nano-template/mbti-yellowstone/example/template-mbti-yellowstone-lloyd-pierce,yellowstone mbti,0,70,0.00%,6.3
https://www.curify-ai.com/nano-template/mbti-naruto/example/template-mbti-naruto-Minato-Namikaze,minato mbti,0,69,0.00%,4.4
https://www.curify-ai.com/nano-template/mbti-naruto/example/template-mbti-naruto-Minato-Namikaze,minato namikaze personality,0,66,0.00%,6.4
https://www.curify-ai.com/blog/lip-sync-technical-deep-dive,lipsync model,0,58,0.00%,71.8
https://www.curify-ai.com/ru/nano-template/mbti-generic/example/template-mbti-generic-naruto-narutouzumaki,наруто мбти,0,46,0.00%,7.9
https://www.curify-ai.com/blog/asl-video-translator,asl video translator,1,42,2.38%,33.6
https://www.curify-ai.com/tools/video-dubbing,video dubbing,0,41,0.00%,81.1
https://www.curify-ai.com/nano-template/mbti-naruto,itachi mbti,0,38,0.00%,3.9
https://www.curify-ai.com/nano-template/mbti-nba/example/template-mbti-nba-lamine-yamal,yamal mbti,0,36,0.00%,5.3
https://www.curify-ai.com/nano-template/mbti-generic/example/template-mbti-generic-Football-Pele-Maradona-Zinedine-Zidane-Ronaldinho,zidane mbti,0,35,0.00%,5.3
https://www.curify-ai.com/nano-template/mbti-generic,mbti generator,0,34,0.00%,8.8
https://www.curify-ai.com/nano-template/mbti-generic/example/template-mbti-generic-Football-Pele-Maradona-Zinedine-Zidane-Ronaldinho,ronaldinho mbti,0,33,0.00%,3.5
https://www.curify-ai.com/nano-template/mbti-yellowstone,yellowstone mbti,1,32,3.13%,9.2
https://www.curify-ai.com/ko/nano-template/friends-character-mbti/example/template-friends-character-mbti-joey-tribbiani,joey tribbiani mbti,0,30,0.00%,4.2
