domain,query_id,query,language,sub_intent,why_selected,gap_note
merch,V004,figure,en,figure_generic (3D collectible figure/toy),"Core, highest-generality merch sub-intent; decision=KEEP, HIGH confidence, no scenario-label conflict — cleanest possible representative of the merch domain's strongest coverage area (collectible physical objects).",
merch,V014,sticker,en,sticker (flat 2D print merch),"Deliberately picked to diversify away from V004's 3D-object intent — sticker is the domain's strongest flat/print sub-intent, decision=KEEP, HIGH confidence, and pairs naturally with common Curify template use cases (character sticker sheets, packs).",
ecommerce,V174,product photo,en,product_photography (core listing visual),"Represents the domain's most fundamental ecommerce use case (the product photo itself, as opposed to marketing collateral around it); decision=KEEP, HIGH confidence.",
ecommerce,V216,influencer post,en,social_commerce_content (种草/UGC-style content),"Diversifies away from static product photography toward social-commerce content, a high-growth, high-value sub-intent distinct from banners/posters; decision=KEEP, HIGH confidence.",
education,V248,flashcard,en,flashcard_generic (early-learning visual card),"Represents the domain's single deepest sub-tree (6 flashcard variants exist), and is a concrete, unambiguous visual target; decision=KEEP, HIGH confidence.",
education,V260,certificate,en,certificate_generic (formal achievement document),"Diversifies away from flashcard's 'learning card' intent toward a structurally different education artifact (formal document layout, not a card/chart); decision=KEEP, HIGH confidence.",
brand_logo,V084,logo,en,logo (core wordmark/brandmark),"The only query in the entire 326-set that is unambiguously and exclusively a logo/brand-identity query; decision=KEEP, HIGH confidence. Selected first because brand_logo is the thinnest domain (10 rows total) and this is its anchor concept.",
brand_logo,V094,business card,en,print_collateral (brand identity system collateral),"Second-strongest brand_logo sub-intent after logo itself (a classic 'logo + business card' brand-identity pairing); decision=KEEP, HIGH confidence. Note: this domain has only 4 distinct post-merge concepts total (logo, business card, stationery/envelope, signage) — business card was chosen over signage/envelope as the more universally recognized brand-identity deliverable.",
packaging,V098,coffee package,en,"food_beverage_packaging (largest packaging subdomain, 22 rows)","Represents the domain's single deepest and most production-relevant vertical (food/beverage packaging is 61% of all packaging rows combined with cosmetic); decision=KEEP, HIGH confidence.",
packaging,V120,gift box,en,gift_packaging (occasion/gift-specific packaging),"Diversifies away from food/beverage flavor packaging toward occasion-driven gift packaging, a structurally distinct visual target (ribbon/box-lid/presentation framing vs. flat product labeling); decision=KEEP, HIGH confidence. Explicitly called out in the source bank's own reason column as a confirmed positive example, not an edge case.",
