query_id,query,language,scenario,category,reason,domain,subdomain,intent,decision,duplicate_type,duplicate_group,merge_target,decision_reason,confidence
V001,玩具,zh,creative_merch,toy,任务 Creative/Merch 场景正面示例词，具体实物,merch,toy,photo-real reference images of toys as a creative product design category (toy),KEEP,NEAR_DUPLICATE,P001,,Category default: creative_merch/toy -> domain=merch. Cross-language translation pair with V002; both kept (Curify serves zh and en).,HIGH
V002,toy,en,creative_merch,toy,任务 Creative/Merch 场景正面示例词，具体实物,merch,toy,photo-real reference images of toys as a creative product design category (toy),KEEP,NEAR_DUPLICATE,P001,,Category default: creative_merch/toy -> domain=merch. Cross-language translation pair with V001; both kept (Curify serves zh and en).,HIGH
V003,手办,zh,creative_merch,figure,任务 Creative/Merch 场景正面示例词，具体实物,merch,figure_generic,reference images of collectible figures for merch/product design (figure_generic),KEEP,NEAR_DUPLICATE,P002,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V004; both kept (Curify serves zh and en).,HIGH
V004,figure,en,creative_merch,figure,任务 Creative/Merch 场景正面示例词，具体实物,merch,figure_generic,reference images of collectible figures for merch/product design (figure_generic),KEEP,NEAR_DUPLICATE,P002,,Category default: creative_merch/figure -> domain=merch. Cross-language translation pair with V003; both kept (Curify serves zh and en).,HIGH
V005,毛绒玩具,zh,creative_merch,plush,任务 Creative/Merch 场景正面示例词，具体实物,merch,plush,reference images of plush toys for merch design (plush),KEEP,NEAR_DUPLICATE,P003,,Category default: creative_merch/plush -> domain=merch. Cross-language translation pair with V006; both kept (Curify serves zh and en).,HIGH
V006,plush,en,creative_merch,plush,任务 Creative/Merch 场景正面示例词，具体实物,merch,plush,reference images of plush toys for merch design (plush),KEEP,NEAR_DUPLICATE,P003,,Category default: creative_merch/plush -> domain=merch. Cross-language translation pair with V005; both kept (Curify serves zh and en).,HIGH
V007,娃娃,zh,creative_merch,doll,任务 Creative/Merch 场景正面示例词，具体实物,merch,doll,reference images of dolls for merch/character product design (doll),KEEP,NEAR_DUPLICATE,P004,,Category default: creative_merch/doll -> domain=merch. Cross-language translation pair with V008; both kept (Curify serves zh and en).,HIGH
V008,doll,en,creative_merch,doll,任务 Creative/Merch 场景正面示例词，具体实物,merch,doll,reference images of dolls for merch/character product design (doll),KEEP,NEAR_DUPLICATE,P004,,Category default: creative_merch/doll -> domain=merch. Cross-language translation pair with V007; both kept (Curify serves zh and en).,HIGH
V009,吉祥物,zh,creative_merch,mascot,任务 Creative/Merch 场景正面示例词，具体实物,merch,mascot,reference images of brand/event mascots for merch design (mascot),KEEP,NEAR_DUPLICATE,P005,,Category default: creative_merch/mascot -> domain=merch. Cross-language translation pair with V010; both kept (Curify serves zh and en).,HIGH
V010,mascot,en,creative_merch,mascot,任务 Creative/Merch 场景正面示例词，具体实物,merch,mascot,reference images of brand/event mascots for merch design (mascot),KEEP,NEAR_DUPLICATE,P005,,Category default: creative_merch/mascot -> domain=merch. Cross-language translation pair with V009; both kept (Curify serves zh and en).,HIGH
V011,卡通形象,zh,creative_merch,character,任务 Creative/Merch 场景正面示例词，具体实物,merch,character_ip,reference images of cartoon/IP characters for merch design (character_ip),KEEP,NEAR_DUPLICATE,P006,,Category default: creative_merch/character -> domain=merch. Cross-language translation pair with V012; both kept (Curify serves zh and en).,HIGH
V012,character,en,creative_merch,character,任务 Creative/Merch 场景正面示例词，具体实物,merch,character_ip,reference images of cartoon/IP characters for merch design (character_ip),KEEP,NEAR_DUPLICATE,P006,,Category default: creative_merch/character -> domain=merch. Cross-language translation pair with V011; both kept (Curify serves zh and en).,HIGH
V013,贴纸,zh,creative_merch,sticker,任务 Creative/Merch 场景正面示例词，具体实物,merch,sticker,reference images/design examples of stickers (sticker),KEEP,NEAR_DUPLICATE,P007,,Category default: creative_merch/sticker -> domain=merch. Cross-language translation pair with V014; both kept (Curify serves zh and en).,HIGH
V014,sticker,en,creative_merch,sticker,任务 Creative/Merch 场景正面示例词，具体实物,merch,sticker,reference images/design examples of stickers (sticker),KEEP,NEAR_DUPLICATE,P007,,Category default: creative_merch/sticker -> domain=merch. Cross-language translation pair with V013; both kept (Curify serves zh and en).,HIGH
V015,钥匙扣,zh,creative_merch,keychain,任务 Creative/Merch 场景正面示例词，具体实物,merch,keychain,reference images of keychains as merch (keychain),KEEP,NEAR_DUPLICATE,P008,,Category default: creative_merch/keychain -> domain=merch. Cross-language translation pair with V016; both kept (Curify serves zh and en).,HIGH
V016,keychain,en,creative_merch,keychain,任务 Creative/Merch 场景正面示例词，具体实物,merch,keychain,reference images of keychains as merch (keychain),KEEP,NEAR_DUPLICATE,P008,,Category default: creative_merch/keychain -> domain=merch. Cross-language translation pair with V015; both kept (Curify serves zh and en).,HIGH
V017,收藏品,zh,creative_merch,collectible,任务 Creative/Merch 场景正面示例词，具体实物,merch,collectible_generic,reference images of collectible items (collectible_generic),KEEP,NEAR_DUPLICATE,P009,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V018; both kept (Curify serves zh and en).,HIGH
V018,collectible,en,creative_merch,collectible,任务 Creative/Merch 场景正面示例词，具体实物,merch,collectible_generic,reference images of collectible items (collectible_generic),KEEP,NEAR_DUPLICATE,P009,,Category default: creative_merch/collectible -> domain=merch. Cross-language translation pair with V017; both kept (Curify serves zh and en).,HIGH
V019,盲盒,zh,creative_merch,blind_box,任务 Creative/Merch 场景正面示例词，具体实物,merch,blind_box,reference images of blind-box/mystery collectible packaging and figures (blind_box),KEEP,NEAR_DUPLICATE,P010,,Category default: creative_merch/blind_box -> domain=merch. Cross-language translation pair with V020; both kept (Curify serves zh and en).,HIGH
