evidence_id,case_id,step_id,evidence_type,source_url,source_section,evidence_description,support_level,local_evidence_path,notes
EV01,ecommerce_001,step_1,text_description,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,Input Description (intro section before process heading),"Describes the raw input photo: office desk shot, adequate lighting, cluttered background (desk reflections, pen holder, distant monitor), no outdoor context conveyed.",DIRECT,evidence/key_quotes.txt,Confirmed via direct WebFetch of live page on 2026-08-09
EV02,ecommerce_001,,text_description,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,Problem Statement / Introduction,"Frames the core e-commerce problem: detail pages must answer 'What is this / Why is it good / Why buy here' or CTR stays low despite a competitive product.",PARTIAL,evidence/key_quotes.txt,Contextual framing only; not itself a workflow step; used as background in CASE_SUMMARY
EV03,ecommerce_001,step_1,text_description,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,"Section heading: 从'毛坯'到'精装'：一张原图的逆袭 -> sub-step 原片入场","Names the first labeled sub-step of the process: uploading the raw photo into the tool as the starting point.",DIRECT,evidence/key_quotes.txt,Explicit named/ordered step; not inferred
EV04,ecommerce_001,step_2,text_description,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,"Section heading: 从'毛坯'到'精装'：一张原图的逆袭 -> sub-step 核心指令","Names second sub-step: entering selling-point text ('食品级硅胶折叠结构、轻量化设计、户外挂扣系统') with stated rationale mapping each phrase to a consumer concern.",DIRECT,evidence/key_quotes.txt,Explicit named/ordered step with stated professional rationale
EV05,ecommerce_001,step_3,text_description,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,"Section heading: 从'毛坯'到'精装'：一张原图的逆袭 -> sub-step 风格定调","Names third sub-step: choosing 1 of 4 style directions (outdoor vitality/tech/home casual/luxury); states outdoor-vitality was chosen for higher CTR in this product category.",DIRECT,evidence/key_quotes.txt,Explicit named/ordered step; CTR claim is vendor-self-reported with no methodology given
EV06,ecommerce_001,step_4,text_description,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,"Section heading: 从'毛坯'到'精装'：一张原图的逆袭 -> sub-step 套图生成","Names fourth sub-step: smart-matching or custom generation of a minimum 7-image suite across 4 categories (white background, scene, selling-point close-up, comparison).",DIRECT,evidence/key_quotes.txt,Explicit named/ordered step with concrete image taxonomy
EV07,ecommerce_001,step_5,text_description,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,"Section heading: 从'毛坯'到'精装'：一张原图的逆袭 -> sub-step 生成与落位","Names fifth sub-step: rendering final assets and placing them into the existing detail-page layout.",DIRECT,evidence/key_quotes.txt,Explicit named/ordered step
EV08,ecommerce_001,step_4,platform_constraint,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,Numbers/Ratios section (associated with 套图生成 step),"States concrete platform/production constraints: min 7 images, product body >=60% of composition, 3:4 vertical ratio for mobile, white-background image mandatory.",DIRECT,evidence/key_quotes.txt,Confirmed via direct WebFetch; used to populate professional_rule and professional_constraints fields
EV09,ecommerce_001,,efficiency_claim,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,Time/Efficiency quote (associated with generation steps),"'以前可能需要一个设计师花两天时间完成的场景合成工作，现在压缩到了半小时以内' (work previously requiring a designer two days now compressed to under 30 minutes), quality described as more stable/controllable.",PARTIAL,evidence/key_quotes.txt,Self-reported vendor efficiency claim with no independent verification; used as context/limitation; not as a professional_rule
EV10,ecommerce_001,step_5,text_description,https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,Final Outputs section,"Describes the finished output: a stylistically unified, high-quality image set producing 'even without complex layout... substantially increased trust factor and immersion' when placed into the page.",DIRECT,evidence/key_quotes.txt,Supports step_5 output description
EV11,ecommerce_001,,comparison_evidence,https://soona.co/case-studies/swoon,Full case study (soona/Swoon),"Re-fetched competing candidate ECOM-03; confirmed by direct read to be 'a narrative-based approach rather than a concrete step-by-step production process' -- no labeled sequential steps.",NONE,evidence/key_quotes.txt,Used only to justify SELECTION RULE comparison in CASE_SUMMARY.md; NOT evidence for any ecommerce_001 workflow step; and not cited as evidence_ids in workflow_extraction.json
