category,query_id,search_query,organic_rank,result_title,result_url,curify_rank_observed,selected,page_notes
MBTI,MBTI_01,naruto characters mbti chart,3,Naruto Shippūden MBTI Personality Types,https://www.personality-database.com/profile?pid=2&cid=8&sub_cat_id=89,Instagram @curify.ai 排名 8；curify-ai.com 官网在 page 4,PENDING,Personality Database 页面；已验证内部页面。页面包含系列简介、分类筛选（如 Four Letter、Enneagram）、角色卡片列表、每个角色的 MBTI 类型、投票数、讨论入口和大量角色内链，信息架构清晰，适合作为 MBTI 角色集合页 Pattern 样本。专业性主要体现在角色档案聚合、类型标签体系和强内部链接。Curify 当前缺少这种角色集合页、类型标签筛选和大规模角色内链结构。
MBTI,MBTI_02,infj personality poster,2,Infj Posters for Sale,https://www.redbubble.com/shop/infj+posters,not found in first 5 pages,PENDING,Redbubble 的 INFJ 海报集合页。页面包含明确的 H1、相关人格标签、商品数量、筛选和排序、海报网格、商品标题、作者、价格和折扣信息，并通过大量商品卡片展示不同 INFJ 视觉表达。适合作为 MBTI 海报商业展示和视觉内容组织的代表样本，但缺少完整的人格简介、traits、strengths、career、relationships 等专业知识模块，因此更适合参考商品集合、标签导航和视觉呈现，不宜作为 MBTI 专业内容权威页的唯一参考。
MBTI,MBTI_03,enfp cognitive functions chart,2,Enfp Cognitive Functions Chart,https://www.pinterest.com/ideas/enfp-cognitive-functions-chart/948726503818/,not found in first 5 pages,PENDING,Pinterest 图片集合页。内部页面主要是图片瀑布流和相关 board/content 推荐，适合观察 ENFP cognitive functions chart 的视觉样式、配色和信息布局，但缺少系统性的文字解释、清晰的专业内容模块和稳定的信息架构，不适合作为 MBTI 专业内容页面 Pattern 样本；可作为视觉参考。
MBTI,MBTI_04,taylor swift mbti,2,"Taylor Swift Personality Type (MBTI, Enneagram, Song ...)",https://www.personality-database.com/profile/1002/taylor-swift-pop-contemporary-musicians-mbti-personality-type,not found in first 5 pages,PENDING,Personality Database 的名人人格档案页。页面包含明确的标题与人物身份标签（如 Pop & Contemporary Musicians、Actor）、Taylor Swift 的 MBTI 类型（ESFJ）与 Enneagram（3w2）、分段式专业内容模块（Taylor Swift MBTI、Taylor Swift Enneagram、Big Five Personality Traits、Zodiac Signs、About Taylor Swift）、相关名人档案导航、作品入口，以及投票/评论互动区。信息架构完整，兼具人物简介、人格分析、标签体系、相关人物内链和用户互动，适合作为 MBTI 名人页面 Pattern 样本。Curify 当前缺少这种“人物简介 + 人格分析 + 多人格体系 + 相关人物导航 + 互动信号”的完整结构。
MBTI,MBTI_05,MBTI comparison chart,2,MBTI Compatibility Chart — All 256 Type Pairs (2026),https://jobcannon.io/compatibility/mbti,not found in first 5 pages,PENDING,JobCanon 的 MBTI 兼容性专题页。页面包含 H1 与简要说明、MBTI compatibility 定义、16×16 全类型配对矩阵、颜色分级与分数图例、评分方法说明、Top 10 compatible pairs、按人格类型浏览入口、FAQ 和测试 CTA。信息架构完整，兼具结构化数据、可视化图表、解释性内容、内部链接和长尾问答，适合作为 MBTI compatibility/chart 页面 Pattern 样本。Curify 当前缺少这种“完整配对矩阵 + 评分逻辑 + 配对推荐 + 类型导航 + FAQ”的专业内容结构。
MBTI,MBTI_06,16 personality types infographic,2,16 Personality Types Infographic,https://www.pinterest.com/ideas/16-personality-types-infographic/942582027436/,not found in first 5 pages,PENDING,页面包含 MBTI compatibility 定义、16×16 全类型配对矩阵、颜色与分数图例、评分方法、Top 10 compatible pairs、按人格类型浏览、FAQ 和 MBTI 测试 CTA。内容结构完整，兼具专业解释、可视化图表、类型内链和长尾问答，适合作为 MBTI compatibility chart 的代表页面。Curify 当前缺少完整配对矩阵、评分逻辑、类型导航和 FAQ 模块
Education,EDU_01,3rd grade multiplication worksheet,2,3rd Grade Multiplication Worksheets templates,https://www.canva.com/worksheets/templates/3rd-grade-multiplication/,not found in first 5 pages,PENDING,Canva 的三年级乘法练习模板集合页。页面包含面包屑、明确的 H1、模板搜索、筛选入口和大规模 worksheet 模板网格，覆盖乘法运算、数组、数轴、乘法表、因数族和运算性质等多种题型，视觉形式丰富，适合作为教育类模板发现、分类浏览和创作入口的参考样本。但页面主要强调模板展示，缺少学习目标、适用年龄、难度、教学说明和资源包含内容等专业教育模块。
Education,EDU_02,spanish vocabulary flashcards,5,Free Spanish Flashcards,https://flashcardo.com/spanish-flashcards/,not found in first 5 pages,PENDING,Flashcardo 的西班牙语词汇卡资源页。页面包含介绍、按主题分类的词汇卡导航、1000 个高频词分段入口、电子书、可打印 PDF、Anki 间隔重复学习、视频词汇卡，以及其他语言资源内链。信息架构完整，兼具学习分类、资源格式、使用方式和下载入口，适合作为 Education 垂类的专业资源页样本。Curify 当前缺少这种“主题分类 + 高频词体系 + 多种学习格式 + 下载资源 + 相关语言内链”的完整结构。
Education,EDU_03,solar system poster for kids,3,Solar System Poster for Kids,https://www.pinterest.com/ideas/solar-system-poster-for-kids/913766388969/,not found in first 5 pages,PENDING,Pinterest 的儿童太阳系海报集合页。页面包含主题标题、简短介绍、海报图片瀑布流、相关推荐和相关 boards，适合观察行星信息排布、儿童化插画、配色和海报构图。但缺少年级、学习目标、教学说明、资源包含内容和可打印规格等专业教育模块，因此只作为视觉参考，不纳入 Education 垂类的专业页面 Pattern 样本。
Education,EDU_04,periodic table infographic,1,Periodic Tables,https://www.compoundchem.com/category/periodic-tables/,not found in first 5 pages,PENDING,Compound Interest 的元素周期表专题聚合页。页面包含明确的 H1、面包屑，以及按卡片组织的大量周期表 infographic 文章，覆盖元素发现史、女性科学家、氧化态、元素名称来源、数据更新和不同周期表设计等主题；每张卡片带预览图、标题、发布日期、互动数据和详情入口。适合作为 Education 垂类的专业内容 Hub 样本，专业性体现在主题细分、持续更新、深度文章和强内部链接。Curify 当前缺少这种“主题聚合页 + 多种专业子主题 + 内容更新时间 + 文章内链”的结构。
