category,query_id,search_query,query_pattern,entity_or_topic_type,visual_content_type,reason_for_selection,expected_competitor_page_type,expected_professional_modules,research_status,generation_method,legacy_overlap_status,human_review_status
MBTI,MBTI-01,mbti jude bellingham,person + vertical,Jude Bellingham (footballer),n/a,"This is the business owner's own example query — a specific athlete paired with the vertical word, the exact short-form pattern real searchers use",fan/personality-profile blog or sports-personality site,"type verdict, cognitive function breakdown, supporting quotes/evidence, related athletes with same type",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
MBTI,MBTI-02,naruto characters mbti chart,franchise characters + mbti + visual format,Naruto franchise cast,chart,Franchise-wide character MBTI charts are one of the most common dedicated visual pages in the fandom-personality niche,fandom/anime personality-typing blog,"full-cast grid/chart image, per-character type + rationale, cognitive-function legend, source citations",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
MBTI,MBTI-03,infj personality poster,personality type + visual format,INFJ type,poster,"Type-specific posters are an actual sold/displayed product, useful for studying product-style presentation of a personality visual",print-on-demand or personality-merch shop,"type description copy, trait list, famous INFJs, poster preview image, size/purchase module",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
MBTI,MBTI-04,enfp cognitive functions chart,personality type + visual format,ENFP,chart,"Cognitive-function stack charts are a distinct, more technical visual format within the MBTI community, different from simple trait posters",MBTI education/reference site,"function-stack diagram, dominant/auxiliary/tertiary/inferior explanation, comparison to adjacent types",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
MBTI,MBTI-05,taylor swift mbti,person + vertical,Taylor Swift (celebrity),n/a,Mirrors the given example pattern with a second very high-traffic celebrity to test whether page structure generalizes across fame domains,celebrity personality blog or fan wiki,"type verdict, evidence from interviews/behavior, cognitive function analysis, list of other celebrities sharing the type",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
MBTI,MBTI-06,16 personality types infographic,topic + visual format,full 16-type MBTI system overview,infographic,"An overview infographic anchors what a strong hub/template page looks like, as opposed to single-entity pages",personality reference/education site,"grid of all 16 types, icon/color per type, short trait tags, links out to individual type pages",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
Education,EDU-01,3rd grade multiplication worksheet,level + subject + visual format,3rd grade multiplication,worksheet,Classic concrete grade+subject+format combination that teachers and parents search constantly,teacher-resource site (e.g. Education.com or Teachers Pay Teachers listing),"worksheet preview thumbnail, grade/difficulty tag, answer-key note, printable/download button, related-worksheets list",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Education,EDU-02,spanish vocabulary flashcards,language + topic + visual format,Spanish vocabulary,flashcards,Language-learning card sets are a core visual-content category with many competing professionally built pages,language-learning or ESL resource site,"flashcard set preview grid, word+image+translation per card, category grouping, print/digital toggle",NOT_STARTED,blind_independent_generation,PARTIAL_SEMANTIC_OVERLAP,PENDING
Education,EDU-03,solar system poster for kids,topic + audience + visual format,solar system,poster,"A well-established educational poster category combining subject and target audience, good for studying kid-facing design conventions",kids' educational poster/print shop or science-education site,"labeled diagram preview, planet fact callouts, age-range tag, size/print options",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
Education,EDU-04,periodic table infographic,topic + visual format,periodic table (chemistry),infographic,"A dense, highly competitive reference infographic that shows professional data-visualization layout at its most demanding",chemistry/science education reference site,"full element grid, color-coded category legend, element detail callouts, download/print options",NOT_STARTED,blind_independent_generation,NEW_DIRECTION,PENDING
