query_id,query,domain,status,candidate_count,persisted_count,last_updated,notes
V004,figure,merch,COMPLETE,5,5,2026-08-09,Batch 1; 5 Behance designer/studio portfolio projects (3B/2A); expansion tested on 2 of 5 (both level 5 supported)
V014,sticker,merch,COMPLETE,5,5,2026-08-09,"Batch 2; 5 Behance sticker projects (2A: UNHCR institutional client + Carly Berry own-commerce-site, 3B); expansion tested on 2 of 5"
V174,product photo,ecommerce,COMPLETE,5,5,2026-08-09,"Batch 1; 5 Behance designer/studio portfolio projects (1A skincare-system,1A footwear-retouch-process,2B,1C generic freelance); expansion tested on 2 of 5"
V216,influencer post,ecommerce,PARTIAL,4,4,2026-08-09,"Batch 2; only 4 of ~5 target found (3B+1C); this sub-intent is genuinely harder to find well-documented individual case studies for on Behance/ZCOOL since native influencer content lives on Instagram/TikTok/Xiaohongshu, not portfolio platforms; expansion tested on 1 of 4"
V248,flashcard,education,PARTIAL,4,4,2026-08-09,"Batch 3; 4 of ~5 target (all B grade, distinct sub-concepts: vehicles/animals/alphabet/color); expansion tested on 1 of 4 (PARTIAL - Etsy shop link not independently re-verified)"
V260,certificate,education,PARTIAL,4,4,2026-08-09,"Batch 4; 4 of ~5 target (1A distinctive brand-touchpoint framing, 2B generic templates, 1B real Anthropic-issued credential); expansion tested on 1 of 4 (ACCESS_BLOCKED at creator external site - HTTP 402)"
V084,logo,brand_logo,COMPLETE,5,5,2026-08-09,"Batch 3; 5 Behance logo case studies (3A: pizzeria/agriculture/agency-self-brand, 2B: saas/aviation); expansion tested on 1 of 5 (level 5 supported - real verified agency)"
V094,business card,brand_logo,COMPLETE,5,5,2026-08-09,"Batch 4; 5 Behance business-card/stationery cases (4A: real named clients incl. verified-real cafe + letterpress client, 1B generic template); expansion tested on 1 of 5 (level 5 supported - real verified business)"
V098,coffee package,packaging,COMPLETE,5,5,2026-08-09,"Batch 5; 5 coffee packaging cases (4A incl. real award-winning roastery + real KakaoBank institutional merch, 1B); canonical_url for pack_v098_003 set to designer own site (not Behance) per instructions; expansion tested on 1 of 5 (level 5 supported, strongest in pilot)"
V120,gift box,packaging,COMPLETE,5,5,2026-08-09,"Batch 5; 5 gift box packaging cases (4A incl. real Edifier + real Xiaohongshu institutional clients, 1B); expansion tested on 1 of 5 (level 5 supported - real verified global electronics brand)"
