inspiration_need,existing_curify_field,fit,source_file,notes
query,(none — no query/search-term field on any image or template record),NO,lib/nano_pure.ts,"RawNanoImageRecord/ImageView/TemplateView carry params (generation parameters), tags, topics, and locales.<lang>.title/category — none of these is a stored user search query. search_aliases (on nano_inspiration.json records, not in the pure client type) is the closest thing but it is an editor-authored alias list for search matching, not a logged/observed query."
domain,topics: string[] on RawTemplate / RawNanoImageRecord,PARTIAL,lib/nano_pure.ts,"topics is a flat string array (multi-valued, no single canonical 'domain' field) and the topic vocabulary (see lib/topicRegistry_pure.ts Topic type) is not aligned to the 5 target domains (merch/ecommerce/education/brand_logo/packaging) — it is a much larger, org-grown topic set. Would need a new mapping layer, not a rename."
domain,Topic.id + parentTopic in TopicWithTemplates,PARTIAL,lib/topicRegistry_pure.ts,"getTier1Ancestor()/getParentTopic() show the registry already supports a 2-level topic hierarchy (tier-1 ancestor + children), which is structurally the right shape for a domain->subdomain relationship, but the actual tier-1 topic set is not the 5 target domains today."
subdomain,"category field on RawTemplate/RawNanoImageRecord (per-locale, in locales.<lang>.category) and category on ImageView",PARTIAL,lib/nano_pure.ts,"category is free-text, single-valued, locale-specific (not a stable id) — usable as prior art for a finer-grained label under domain, but not already populated with anything resembling the 5-domain taxonomy's subdomains."
thumbnail,asset.preview_image_url / preview_image_url,YES,lib/nano_pure.ts,"RawNanoImageRecord.asset.preview_image_url and ImageView.preview_image_url are populated CDN thumbnail URLs at production scale (3,611 records in public/data/nano_inspiration.json). Confirmed by direct read of both lib/nano_pure.ts (type) and the JSON file."
thumbnail,visual.images[].url on InspirationCardUI (System A),PARTIAL,types/inspiration.ts; public/data/inspiration.json,"System A's visual.images[] holds local /inspiration/*.jpg paths in the 3-item seed file, not a CDN thumbnail field on the DTO itself (InspirationCardDTO only has image_url/preview_image_url, both optional) — a second, weaker precedent than System B, not the primary fit."
title,locales.<lang>.title on RawNanoImageRecord / title on ImageView,YES,lib/nano_pure.ts,Populated per-locale title field exists and is used in ImageView (title?: string). Confirmed at both the type layer and by the public/data/nano_inspiration.json field inventory in EXISTING_DATA_STRUCTURE_AUDIT.md.
source_url,"(none anywhere in System B — RawNanoImageRecord.asset has only image_url/preview_image_url/audio_url/video_url, all Curify-hosted CDN paths)",NO,lib/nano_pure.ts,"Confirmed by direct read: no source_url/origin_url/source_platform/attribution field of any kind on RawTemplate, RawNanoImageRecord, TemplateView, or ImageView. This is the single biggest schema gap for Inspiration V1."
source_url,"signal.sources[].url (System A, JSON fixture only — not in the TS type)",PARTIAL,public/data/inspiration.json; types/inspiration.ts,"CORRECTION to Phase 0: the url sub-field exists in the public/data/inspiration.json fixture (all 3 sample values are the placeholder https://example.com) but InspirationCardUI.signal.sources in types/inspiration.ts is typed as only { label: string }[] — the url field is NOT part of the declared TS contract, only present in the raw JSON. So the 'sources[{label,url}]' pattern is even weaker prior art than Phase 0 implied: it is undeclared in the interface and unpopulated with real data. Any V1 use of this pattern would need to add url to the type, not just reuse it as-is."
source_domain,(none anywhere),NO,lib/nano_pure.ts; types/inspiration.ts,"No field derives or stores a bare domain/hostname (e.g. pinterest.com) separately from a full URL or a human label anywhere in either system. source_platforms: string[] on InspirationCardDTO (System A) stores a platform label (e.g. a platform name string), not a parsed domain — closest analog but not equivalent."
creator,(none anywhere),NO,lib/nano_pure.ts; types/inspiration.ts,No attribution/author/creator-handle field exists on any inspected type in either system.
discovered_via,(none anywhere),NO,lib/nano_pure.ts; types/inspiration.ts,"No discovery-method/channel field exists. InspirationCardDTO.signal_source (labelled '// Coze signal' in-file) is the closest analog — it records which upstream signal-detection pipeline produced the card — but it is a single string on a video-idea record, not a per-image discovery-channel field, and does not exist in System B at all."
tags,tags: string[] on RawNanoImageRecord / ImageView carries no explicit tags field (tags is on RawNanoImageRecord but ImageView narrows it away),PARTIAL,lib/nano_pure.ts,"RawNanoImageRecord.tags: string[] exists and is populated at scale (confirmed in EXISTING_DATA_STRUCTURE_AUDIT.md, e.g. 'character', 'illustration', 'vintage-retro'). CORRECTION/clarification to Phase 0: the resolved ImageView type (used for rendering) does NOT re-expose tags — only topics survives onto TemplateView. So 'tags' fit is YES at the raw-registry layer but PARTIAL at the client-rendering layer, which matters if V1 is built on top of ImageView rather than the raw registry."
tags,inspiration_tags: string[] on InspirationCardDTO (System A),PARTIAL,types/inspiration.ts,"Structurally equivalent tag-array pattern exists in System A too but is scoped to video-content-idea angles, not image content tags."
content_understanding,locales.<lang>.category + locales.<lang>.title on RawNanoImageRecord,PARTIAL,lib/nano_pure.ts,"category+title give a short structured label per locale, not a generated description/caption field. There is no long-form 'what is in this image' understanding field (e.g. no description, no alt_text, no caption) on RawNanoImageRecord/ImageView/TemplateView — TemplateView.description exists at the TEMPLATE level only, not per-image."
content_understanding,output_title / output on InspirationCardDTO (System A),PARTIAL,types/inspiration.ts,"Longer-form text fields exist in System A (hook/output) but describe a generated video script, not visual content understanding of a source image."
quality_status,rank_score?: number on RawTemplate/RawNanoImageRecord/ImageView/TemplateView,PARTIAL,lib/nano_pure.ts,"rank_score is a numeric ranking signal (confirmed by chore commit 782093f7 'update nano template rank scores' in this repo's recent history) — it is a relevance/quality proxy already in production use, but it is not a categorical quality_status field (e.g. no PASS/FAIL/FLAGGED enum) and is template/image ranking, not a QA-pipeline status."
