candidate_id,domain,title,author_or_org,source_platform,source_url,discovered_via,source_type,workflow_visibility_score,evidence_completeness_score,professional_knowledge_score,curify_relevance_score,source_authority_score,total_score,input_visible,process_visible,output_visible,professional_constraints_visible,candidate_status,reason,access_status
MERCH-01,merch,"把自己的插画做成产品：从构思到销售变现的心路历程 (Turning Illustration Into Product: NUS/NTU Architecture Merch)",安娜 (Anna),ZCOOL,https://www.zcool.com.cn/article/ZMTE3OTk3Mg==.html,"WebSearch: 站酷 卡通形象 到 文创产品 全流程 手绘稿 到 印刷 案例",designer_blog_case_study,2,2,2,2,1,9,Y,Y,Y,Y,STRONG_SELECT_CANDIDATE,"Full personal-studio pipeline from on-site sketching through illustration production, multi-format product adaptation (postcard/phone case/badge/magnet), packaging + unboxing design, multi-vendor sample QC (rejected defective sphere magnets and ghosted phone cases), and legal trademark clearance (Singapore Trade Mark/Copyright Act). Most evidence-complete merch candidate found; only limitation is single-author blog rather than agency authority.",ACCESSIBLE
MERCH-02,merch,故宫猫 IP设计与衍生品开发案例 (Forbidden City Cat IP & Derivative Product Design),洛可可设计 (LKK Design),LKK Design official case page,https://www.lkkdesign.com/anli/anlilook/id/65.html,"WebSearch: 故宫文创 设计流程 从IP到产品 案例",studio_case_study,2,1,2,2,2,9,Y,Y,Y,Y,STRONG_SELECT_CANDIDATE,"Official case study from a major Chinese design consultancy: on-site research + tourist persona analysis, 400-designer/52-day crowdsourced design sprint across 17 themes, symbolic/cultural reasoning for the cat IP, resulting in 200+ produced SKUs sold via official Tmall flagship and an experience store. Strong professional_knowledge and authority; evidence_completeness capped at 1 because no sketches/intermediate visuals were retrievable in the fetched text, only narrated stages.",ACCESSIBLE
MERCH-03,merch,泡泡玛特的新品设计学 (Pop Mart's New-Product Design Methodology),The Paper / 澎湃新闻 (baijiahao contributor),The Paper (thepaper.cn),https://www.thepaper.cn/newsDetail_forward_12521270,"WebSearch: 泡泡玛特 潮玩 IP形象设计 打样 生产 流程",business_journalism_article,1,1,2,1,1,6,Y,Y,Y,Y,BACKUP_OR_REVIEW,"Real industrial IP-to-toy production pipeline (IP evaluation -> 2D design/image-library -> 3D modeling + engineering part separation -> assessment meetings -> predictive mass production), with concrete timelines (8-12 months compressed to 1-3 months via pre-built design reserves, 200+ designers). Strong professional_knowledge but this is secondary business journalism, not a visual portfolio case, so no artifacts are shown and curify_relevance is more about mass-manufacture scale than a single-demo workflow.",ACCESSIBLE
MERCH-04,merch,Mascot Design Case Study,Darin MICHAU,Behance,https://www.behance.net/gallery/56173023/Mascot-Design-Case-Study,"WebSearch: Behance character IP mascot sticker pack design process production case study",portfolio_case_study,1,1,0,1,1,4,Y,Y,Y,N,REJECT,"Final-application-heavy gallery: three rendering styles of the same mascot applied to vehicle wraps, business cards, t-shirts, key rings etc. Process claim ('document the time taken and process') is not backed by visible sketches/iterations, and no print-production or commercial constraints are discussed. Kept in the dataset as a documented example of the 'final-gallery-only' weak pattern, not as a usable workflow source.",ACCESSIBLE
ECOM-01,ecommerce,从原片到高转化：天猫详情页制作的设计新思路 (From Raw Photo to High-Conversion Tmall Detail Page),美图设计室 (Meitu Design Studio),Meitu Design Studio official site (designkit.cn),https://www.designkit.cn/article/tianmaoxiangqingye-zhizuo,"WebSearch: 站酷 天猫 主图 详情页 视觉设计 完整案例 从产品拍摄到上线",vendor_official_case_article,2,2,2,2,1,9,Y,Y,Y,Y,STRONG_SELECT_CANDIDATE,"Near-exact match to Curify's '1 phone photo -> pro ad' framing: single cluttered office-desk smartphone photo of a water bottle -> spec-to-benefit translation -> 4 style-direction selection (outdoor/tech/home/luxury) -> structured image suite (white bg, scene, callout, comparison) -> platform constraints (7+ images, mandatory white-bg shot, 60%+ subject composition, 3:4 mobile ratio). Authority capped at 1 because this is vendor content promoting Meitu's own AI tool, not independently verified.",ACCESSIBLE
ECOM-02,ecommerce,"10 Beauty eCommerce Case Studies (Benefit, NARS, MAC, Estée Lauder, Avon, e.l.f., Clinique, Decorté, SoPost, TLB Lip Bar)",Perfect Corp.,Perfect Corp. official blog,https://www.perfectcorp.com/business/blog/makeup/eyewear-virtual-try-on,"WebSearch: virtual try-on makeup AI ecommerce case study fashion brand process implementation",vendor_official_case_roundup,1,1,2,2,1,7,Y,N,Y,N,BACKUP_OR_REVIEW,"Directly matches Curify's manager-confirmed 'virtual try-on / makeup try-on' ecommerce feature, with input method (camera/photo upload) and quantified results (e.g. Benefit 14x sales increase, NARS 300% conversion uplift) for 10 named brands. Downgraded from an earlier STRONG rating after review: this is a self-published vendor highlight-reel of best-case metrics across many brands, not one project's evidenced input-to-output process (no single project's intermediate steps are shown, matching ECOM-04's 'no process trail' issue in metrics form rather than gallery form) -- so process_visible is N and source_authority is capped at 1 for consistency with how other self-published vendor case content (ECOM-01, ECOM-03) was scored in this dataset.",ACCESSIBLE
ECOM-03,ecommerce,How Swoon Doubled Sales with Product Photography,soona (client: Swoon beverage brand),soona official case studies,https://soona.co/case-studies/swoon,"WebSearch: soona product photography case study one product photo lifestyle ad campaign brand process",vendor_official_case_study,2,2,1,2,1,8,Y,Y,Y,N,STRONG_SELECT_CANDIDATE,"Concrete raw-product -> unified ecommerce+lifestyle photo/video shoot (ship product, live virtual shoot with real-time stylist feedback) -> multi-channel output (Amazon/retail listings, lifestyle/hand-model shots, video, social/email assets) -> measurable business result (125% over first-month sales goal, sold out in 3 months, deployed across Amazon/Target/Kroger/Walmart/Whole Foods). Close match to 'one input -> full campaign' framing; no deep technical/platform constraints discussed beyond general retail distribution.",ACCESSIBLE
ECOM-04,ecommerce,汇集4大电商案例，我总结了这份商品展示设计报告 (AIPL-Model E-commerce Product Display Design Report),子牧先生 (Zimu Xiansheng),ZCOOL,https://www.zcool.com.cn/article/ZMTE3MzYxNg==.html,"WebSearch: 站酷 电商 详情页 全案设计 视觉流程 / 汇集4大电商案例",designer_blog_analysis,1,1,1,1,1,5,Y,Y,N,Y,REJECT,"Applies Alibaba's AIPL funnel model to compare Taobao/Pinduoduo/Tmall/JD visual strategy (e.g. Pinduoduo's list-layout to simplify purchase path). Genuine platform-differentiation knowledge but structured as cross-platform strategic analysis, not a single product's evidenced input-to-output journey; no concrete before/after artifacts or output metrics for one project. Kept only as a documented example of a strategy-only source that falls short of the workflow bar.",ACCESSIBLE
EDU-01,education,深度拆解：月营收3亿的"斑马ai课"长啥样？ (Deep-Dive: Inside Zebra AI Class's Content Design),明文密码 (product-analysis contributor),人人都是产品经理 (woshipm.com),https://www.woshipm.com/pd/3673908.html,"WebSearch: 斑马AI课 内容设计 从绘本故事到练习题 全流程 教研",product_analysis_article,2,2,2,2,1,9,Y,Y,Y,Y,STRONG_SELECT_CANDIDATE,"Near-exact structural match to Curify's education baseline (story/video -> picture-book + follow-reading -> multi-dimensional quiz practice -> learning report), with real pedagogical-science backing (3-7 year-olds' short-term memory capacity cited as '3 plus/minus 2 chunks' driving repetition design; each vocabulary word tested across pronunciation/meaning/character-form). Weekly theme -> 5-day story arc structure is directly analogous to a 'story to full learning pack' pipeline. Authority capped at 1: this is third-party product-analysis journalism, not Zebra's own official documentation.",ACCESSIBLE
EDU-02,education,Duolingo Learning Designer Case Study II — Teaching Language Patterns to Beginners,Tanvi Vartak,Medium,https://tanvivartak.medium.com/duolingo-learning-designer-case-study-ii-teaching-language-patterns-to-beginners-db86dbf9758a,"WebSearch: Duolingo story lesson design process case study content pedagogy",portfolio_case_study,2,1,2,1,1,7,Y,Y,Y,N,BACKUP_OR_REVIEW,"Real instructional-design artifact from Duolingo's own Learning Designer internship assignment: 6 sequential screens teaching noun-adjective gender agreement, applying explicit learning-science principles (scaffolding via proper-nouns-first, color-coded signaling, cognitive-load management, schema-building repetition). Strong pedagogical rationale but it is an internship exercise, not a shipped/tested product, so there are no real output metrics or production constraints, and scope (one grammar pattern) is narrower than Curify's full 'learning pack.'",ACCESSIBLE
