domain,external_case_id,external_step_id,external_step,external_evidence_strength,current_curify_evidence,current_curify_support,gap_description,user_value,professional_necessity,repeatability,ai_workflow_compatibility,demo_value,recommendation,recommendation_confidence,reason,evidence_ids
merch,merch_001,step_01,Reference gathering & conceptualization (on-site + Street View + architectural drawings + sketching),HIGH,UNKNOWN,UNKNOWN_CURRENT_STATE,"External source shows a human research/reference-gathering phase preceding illustration; Curify's baseline (video) starts from an already-chosen character/IP, not from raw physical-site reference gathering.",LOW,MEDIUM,LOW,LOW,LOW,IGNORE,MEDIUM,"This step describes the human designer's own upstream research process (site visits, architectural drawings) before any digital tool is involved. It precedes Curify's stated starting point (a character/IP already exists) and is not a generation-pipeline step Curify would perform. No baseline evidence claims Curify does or should do reference gathering, so nothing is being called 'missing' here.",EV-01
merch,merch_001,step_02,Illustration drawing pipeline (PS photo base -> sketch -> line cleanup -> AI vector -> color blocking -> PS refine -> multi-size adapt),HIGH,UNKNOWN,UNKNOWN_CURRENT_STATE,"Describes a fixed multi-tool MANUAL illustration pipeline with built-in iteration/rework time. Curify's video shows AI automating illustration generation, not a manual multi-app pipeline, so this is a different production model, not a missing capability.",LOW,MEDIUM,LOW,LOW,LOW,IGNORE,MEDIUM,"This documents how a human illustrator manually works, which is precisely the manual labor Curify's AI generation is meant to replace/accelerate, not a workflow node to add. The one transferable idea (multi-size adaptation as a final sub-step) is captured separately in step_03 below.",EV-02
merch,merch_001,step_03,"Product design / format recomposition (per-SKU-format recomposition, not simple crop/resize)",HIGH,MANAGER_MEETING_CONFIRMED,PARTIALLY_SUPPORTED,"Manager-meeting evidence confirms Curify already has some 'handling of disconnected visual elements' capability for merch production. This external step provides independent professional validation that naive resize/crop across product-format aspect ratios (postcard/phone-case/badge/magnet) is professionally insufficient and that per-format recomposition is a real, necessary step -- but it does not tell us whether Curify's confirmed capability already covers this specific case.",HIGH,HIGH,HIGH,HIGH,MEDIUM,KEEP,HIGH,"VALIDATES_EXISTING_DIRECTION: the external, independently-sourced finding that each product format needs dedicated recomposition (not mechanical resize) reinforces the professional necessity of the 'disconnected-element handling' capability the manager already described as part of Curify's merch direction. This is not a newly discovered gap -- it is corroborating evidence for a direction Curify has already committed to. No ADD is recommended because the underlying capability is already manager-confirmed as part of the plan; current implementation completeness remains unverified (see reason column, not a MISSING claim).",EV-03
merch,merch_001,step_04,Packaging design under factory MOQ constraint (custom stamp + hand-folding workaround),HIGH,UNKNOWN,NOT_RELEVANT,"Describes a human small-batch business's manual workaround for factory minimum-order-quantities on physical packaging -- a supply-chain/manufacturing-economics problem, not a creative-asset-generation step.",LOW,MEDIUM,LOW,LOW,LOW,IGNORE,HIGH,"This is a physical-production/procurement workaround (stamps, hand-folding) for one independent seller's manufacturing constraint. It sits entirely outside an AI creative-asset-generation tool's product surface; Curify does not manage physical MOQ negotiations or hand-assembly. Not scored as MISSING because it was never claimed to be in scope.",EV-04
merch,merch_001,step_05,"Manufacturer sampling / vendor selection (3-5 vendors, compare color accuracy/price/spec)",HIGH,UNKNOWN,NOT_RELEVANT,Supply-chain vendor-selection process; not a creative-generation step.,LOW,MEDIUM,LOW,LOW,LOW,IGNORE,HIGH,Vendor sourcing/sampling is a physical-manufacturing procurement activity outside Curify's product surface as a design/asset generation tool.,EV-05
merch,merch_001,step_06,"Legal / trademark / copyright clearance (Trade Mark Act review, lawyer consult, exclude trademarked marks and portrait-rights buildings)",HIGH,UNKNOWN,UNKNOWN_CURRENT_STATE,"No baseline evidence (video or manager-confirmed) establishes whether Curify surfaces any IP/trademark-risk guidance for character/IP-derived merch. Given Curify's core merch use case is explicitly 'character/IP -> merch applications,' this is a directly relevant real-world legal constraint that the current known baseline is simply silent on -- silence is not evidence of absence, so this is scored UNKNOWN_CURRENT_STATE rather than MISSING.",MEDIUM,HIGH,HIGH,MEDIUM,LOW,RESEARCH_FURTHER,MEDIUM,"This is genuinely new professional knowledge not present in any current baseline evidence: fan-made/derivative merch referencing real IP must avoid trademarked marks/names and account for image/portrait rights. It is professionally necessary and recurs across nearly every merch use case (character/IP-driven), but it is an educational/guardrail feature (e.g. a disclaimer or risk-flag step) rather than a generation transformation, so AI-workflow-compatibility and demo value are only medium/low. Recommending RESEARCH_FURTHER (should Curify surface IP-risk guidance when generating derivative merch?) rather than a hard ADD, since this is a product-policy question, not a pure workflow-engineering one.",EV-06
merch,merch_001,step_07,"Pricing strategy (market-based pricing, bundle discounts, spend-tier promotions)",HIGH,UNKNOWN,NOT_RELEVANT,"Retail pricing/promotion strategy; a commerce-operations decision, not a creative-asset-generation step.",LOW,LOW,LOW,LOW,LOW,IGNORE,HIGH,"Pricing strategy is a business decision made by the seller, not an asset Curify would generate as part of a merch creative pipeline.",EV-07
merch,merch_001,step_08,"Incoming quality inspection (checkable defect categories: dimensional tolerance, magnet position, glass integrity, print alignment/ghosting)",HIGH,MANAGER_MEETING_CONFIRMED,PARTIALLY_SUPPORTED,"Manager-confirmed print-readiness capabilities (CMYK, ~3mm bleed, 600dpi, disconnected-element handling) are about digital file preparation, not physical post-manufacture inspection. This step's underlying principle -- define specific, checkable defect categories rather than a vague 'quality check' -- is a transferable idea for a pre-export digital preflight check, even though the physical QC itself is out of scope.",MEDIUM,MEDIUM,MEDIUM,MEDIUM,LOW,MODIFY,LOW,"Physical incoming QC on manufactured goods (magnet weight, glass integrity) is NOT_RELEVANT to Curify directly, but the professional principle behind it -- specific, named, checkable defect categories rather than an unstructured check -- is a reasonable enhancement to the manager-confirmed print-file validation (bleed/dpi/CMYK/disconnected-elements) as an automated 'digital preflight' concept. Framed as a light MODIFY to the existing confirmed print-readiness feature set, not a new domain of work.",EV-08
merch,merch_001,step_09,Listing preparation / product photography (in-house photo studio for 100+ SKUs),HIGH,UNKNOWN,NOT_RELEVANT,"Physical product photography of manufactured goods for listings; overlaps with the ecommerce domain's product-photo workflow, not merch generation.",LOW,LOW,LOW,LOW,LOW,IGNORE,MEDIUM,"This is photographing PHYSICAL manufactured stock, which is a different input modality than merch's character/IP-to-sticker-pack generation flow. If relevant at all, it belongs to the ecommerce domain (see ecommerce_001 comparison), not merch.",EV-09
merch,merch_001,step_10,"Marketing/promotion preparation (~200 images, sequenced strictly after inventory in hand)",HIGH,UNKNOWN,NOT_RELEVANT,Marketing-operations timing/sequencing decision (don't promote before stock exists); not a creative-generation step.,LOW,LOW,LOW,LOW,LOW,IGNORE,HIGH,"This is a business-operations sequencing rule (do not oversell undelivered stock), not something a creative-asset-generation tool produces or enforces.",EV-10
